date,rank,film
1900-01-01,1,The Razor's Edge
1900-01-02,1,Ladies of the Big House
1900-01-02,1,The Bells of St. Mary's
1900-01-04,1,Se Eu Fosse Você 2
1900-01-06,1,The Golden Compass
1900-01-08,1,The Razor's Edge
1900-01-09,1,TBD
1900-01-09,1,Mata Hari
1900-01-11,1,Se Eu Fosse Você 2
1900-01-13,1,Meu Nome Não É Johnny
1900-01-15,1,TBD
1900-01-16,1,The Bells of St. Mary's
1900-01-16,1,Dance Team
1900-01-18,1,Se Eu Fosse Você 2
1900-01-20,1,I Am Legend
1900-01-22,1,13 Rue Madeleine
1900-01-23,1,TBD
1900-01-23,1,Union Depot
1900-01-25,1,Se Eu Fosse Você 2
1900-01-27,1,I Am Legend
1900-01-29,1,13 Rue Madeleine
1900-01-30,1,TBD
1900-01-30,1,High Pressure
1900-02-01,1,Se Eu Fosse Você 2
1900-02-03,1,I Am Legend
1900-02-05,1,The Jolson Story
1900-02-06,1,TBD
1900-02-06,1,Tomorrow and Tomorrow
1900-02-08,1,Se Eu Fosse Você 2
1900-02-10,1,I Am Legend
1900-02-12,1,Humoresque
1900-02-13,1,TBD
1900-02-13,1,Wayward
1900-02-15,1,Valkyrie
1900-02-17,1,27 Dresses
1900-02-19,1,The Shocking Miss Pilgrim
1900-02-20,1,TBD
1900-02-20,1,Lady with a Past
1900-02-22,1,Valkyrie
1900-02-24,1,Juno
1900-02-26,1,The Jolson Story
1900-02-27,1,Broken Lullaby
1900-02-27,1,TBD
1900-03-01,1,Valkyrie
1900-03-02,1,Rambo
1900-03-05,1,Strangers in Love
1900-03-05,1,The Jolson Story
1900-03-06,1,TBD
1900-03-08,1,Slumdog Millionaire
1900-03-09,1,"10,000 BC"
1900-03-12,1,The Beginning or the End
1900-03-12,1,Arsène Lupin
1900-03-13,1,TBD
1900-03-15,1,Slumdog Millionaire
1900-03-16,1,Horton Hears a Who!
1900-03-19,1,The Best Years of Our Lives
1900-03-19,1,Dancers in the Dark
1900-03-20,1,TBD
1900-03-22,1,Slumdog Millionaire
1900-03-23,1,Horton Hears a Who!
1900-03-26,1,Alias the Doctor
1900-03-26,1,The Best Years of Our Lives
1900-03-27,1,TBD
1900-03-29,1,He's Just Not That Into You
1900-03-30,1,Jumper
1900-04-02,1,Tarzan the Ape Man
1900-04-02,1,The Best Years of Our Lives
1900-04-03,1,TBD
1900-04-05,1,Fast & Furious
1900-04-06,1,Jumper
1900-04-09,1,The Best Years of Our Lives
1900-04-09,1,Tarzan the Ape Man
1900-04-10,1,TBD
1900-04-12,1,Fast & Furious
1900-04-13,1,Jumper
1900-04-16,1,The Best Years of Our Lives
1900-04-16,1,This Is the Night
1900-04-17,1,Saratoga Trunk
1900-04-19,1,Fast & Furious
1900-04-20,1,Superhero Movie
1900-04-23,1,The Best Years of Our Lives
1900-04-23,1,The Miracle Man
1900-04-24,1,Dragonwyck
1900-04-26,1,Divã
1900-04-27,1,Superhero Movie
1900-04-30,1,TBD
1900-04-30,1,The Sea of Grass
1900-05-01,1,Ziegfeld Follies
1900-05-02,1,The Garfield Movie
1900-05-03,1,X-Men Origins: Wolverine
1900-05-04,1,Iron Man
1900-05-07,1,The Egg and I
1900-05-07,1,Letty Lynton
1900-05-08,1,Ziegfeld Follies
1900-05-09,1,Kingdom of the Planet of the Apes
1900-05-10,1,X-Men Origins: Wolverine
1900-05-11,1,Iron Man
1900-05-14,1,Duel in the Sun
1900-05-14,1,Letty Lynton
1900-05-15,1,Kitty
1900-05-16,1,Kingdom of the Planet of the Apes
1900-05-17,1,Angels & Demons
1900-05-18,1,Iron Man
1900-05-21,1,Duel in the Sun
1900-05-21,1,The Rich Are Always with Us
1900-05-22,1,The Blue Dahlia
1900-05-23,1,Kingdom of the Planet of the Apes
1900-05-24,1,Night at the Museum: Battle of the Smithsonian
1900-05-25,1,Indiana Jones and the Kingdom of the Crystal Skull
1900-05-28,1,Duel in the Sun
1900-05-28,1,Huddle
1900-05-29,1,Do You Love Me
1900-05-30,1,Kingdom of the Planet of the Apes
1900-05-31,1,Night at the Museum: Battle of the Smithsonian
1900-06-01,1,The Chronicles of Narnia: Prince Caspian
1900-06-04,1,Duel in the Sun
1900-06-04,1,As You Desire Me
1900-06-05,1,The Postman Always Rings Twice
1900-06-07,1,Terminator Salvation
1900-06-08,1,The Chronicles of Narnia: Prince Caspian
1900-06-11,1,Great Expectations
1900-06-11,1,Merrily We Go to Hell
1900-06-12,1,Two Sisters from Boston
1900-06-14,1,A Mulher Invisível
1900-06-15,1,The Incredible Hulk
1900-06-18,1,Thunder Below
1900-06-18,1,Duel in the Sun
1900-06-19,1,Two Sisters from Boston
1900-06-21,1,A Mulher Invisível
1900-06-22,1,Get Smart
1900-06-25,1,The Man from Yesterday
1900-06-25,1,Miracle on 34th Street
1900-06-26,1,Two Sisters from Boston
1900-06-28,1,Transformers: Revenge of the Fallen
1900-06-29,1,WALL-E
1900-07-02,1,Make Me a Star
1900-07-02,1,The Unfaithful
1900-07-03,1,Smoky
1900-07-05,1,Ice Age: Dawn of the Dinosaurs
1900-07-06,1,Hancock
1900-07-09,1,Red-Headed Woman
1900-07-09,1,Fiesta
1900-07-10,1,A Stolen Life
1900-07-12,1,Ice Age: Dawn of the Dinosaurs
1900-07-13,1,Hancock
1900-07-16,1,The Perils of Pauline
1900-07-16,1,Lady and Gent
1900-07-17,1,TBD
1900-07-19,1,Harry Potter and the Half-Blood Prince
1900-07-20,1,The Dark Knight †
1900-07-23,1,The Hucksters
1900-07-23,1,Madame Racketeer
1900-07-24,1,TBD
1900-07-26,1,Ice Age: Dawn of the Dinosaurs
1900-07-27,1,The Dark Knight †
1900-07-30,1,TBD
1900-07-30,1,The Hucksters
1900-07-31,1,TBD
1900-08-02,1,Ice Age: Dawn of the Dinosaurs
1900-08-03,1,The Mummy: Tomb of the Dragon Emperor
1900-08-06,1,The First Year
1900-08-06,1,The Hucksters
1900-08-07,1,Night and Day/Anna and the King of Siam
1900-08-09,1,G.I. Joe: The Rise of Cobra
1900-08-10,1,The Mummy: Tomb of the Dragon Emperor
1900-08-13,1,Guilty as Hell
1900-08-13,1,I Wonder Who's Kissing Her Now
1900-08-14,1,Night and Day
1900-08-16,1,G-Force
1900-08-17,1,The Mummy: Tomb of the Dragon Emperor
1900-08-20,1,American Madness
1900-08-20,1,Welcome Stranger
1900-08-21,1,Night and Day
1900-08-23,1,The Hangover
1900-08-24,1,Wanted
1900-08-27,1,The Bachelor and the Bobby-Soxer
1900-08-27,1,Horse Feathers
1900-08-28,1,Notorious
1900-08-30,1,Os Normais 2 - A Noite Mais Maluca de Todas
1900-08-31,1,Wanted
1900-09-03,1,Back Street
1900-09-03,1,The Bachelor and the Bobby-Soxer
1900-09-04,1,Notorious
1900-09-06,1,Up
1900-09-07,1,Hellboy II: The Golden Army
1900-09-10,1,The Bachelor and the Bobby-Soxer
1900-09-10,1,Down to Earth
1900-09-11,1,Notorious/ Monsieur Beaucaire
1900-09-13,1,Up
1900-09-14,1,Mamma Mia!
1900-09-17,1,Life with Father
1900-09-17,1,Blondie of the Follies
1900-09-18,1,Notorious
1900-09-20,1,Up
1900-09-21,1,Mamma Mia!
1900-09-24,1,Grand Hotel
1900-09-24,1,Life with Father
1900-09-25,1,Notorious
1900-09-27,1,Up
1900-09-28,1,Eagle Eye
1900-10-01,1,Life with Father
1900-10-01,1,Blonde Venus
1900-10-02,1,Notorious
1900-10-04,1,Cloudy with a Chance of Meatballs
1900-10-05,1,Disaster Movie
1900-10-08,1,The Phantom President
1900-10-08,1,Life with Father
1900-10-09,1,Notorious
1900-10-11,1,Cloudy with a Chance of Meatballs
1900-10-12,1,Righteous Kill
1900-10-15,1,The Foxes of Harrow
1900-10-15,1,The Phantom President
1900-10-16,1,Three Little Girls in Blue
1900-10-18,1,Cloudy with a Chance of Meatballs
1900-10-19,1,My Best Friend's Girl
1900-10-22,1,The Foxes of Harrow
1900-10-22,1,Smilin' Through
1900-10-23,1,"No Leave, No Love"
1900-10-25,1,Cloudy with a Chance of Meatballs
1900-10-26,1,High School Musical 3: Senior Year
1900-10-29,1,Six Hours to Live
1900-10-29,1,Forever Amber
1900-10-30,1,"No Leave, No Love"
1900-11-01,1,Michael Jackson's This Is It
1900-11-02,1,High School Musical 3: Senior Year
1900-11-05,1,Forever Amber
1900-11-05,1,Red Dust
1900-11-06,1,Two Years Before the Mast
1900-11-08,1,A Christmas Carol
1900-11-09,1,Quantum of Solace
1900-11-12,1,Red Dust
1900-11-12,1,Forever Amber
1900-11-13,1,Two Years Before the Mast
1900-11-15,1,2012
