date,rank,song,artist
1989-01-01,1,Bring Me Edelweiss,Edelweiss
1989-01-08,1,Bring Me Edelweiss,Edelweiss
1989-01-15,1,"Don't Worry, Be Happy",Bobby McFerrin
1989-01-22,1,"Don't Worry, Be Happy",Bobby McFerrin
1989-02-01,1,The First Time,Robin Beck
1989-02-08,1,The First Time,Robin Beck
1989-02-15,1,The First Time,Robin Beck
1989-02-22,1,The First Time,Robin Beck
1989-03-01,1,The First Time,Robin Beck
1989-03-08,1,The First Time,Robin Beck
1989-03-15,1,She Drives Me Crazy,Fine Young Cannibals
1989-03-22,1,She Drives Me Crazy,Fine Young Cannibals
1989-03-29,1,She Drives Me Crazy,Fine Young Cannibals
1989-04-06,1,She Drives Me Crazy,Fine Young Cannibals
1989-04-13,1,She Drives Me Crazy,Fine Young Cannibals
1989-04-20,1,She Drives Me Crazy,Fine Young Cannibals
1989-04-27,1,She Drives Me Crazy,Fine Young Cannibals
1989-05-01,1,She Drives Me Crazy,Fine Young Cannibals
1989-05-15,1,Looking for Freedom,David Hasselhoff
1989-05-22,1,Looking for Freedom,David Hasselhoff
1989-06-01,1,Nur ein Lied,Thomas Forstner
1989-06-08,1,Nur ein Lied,Thomas Forstner
1989-06-15,1,Nur ein Lied,Thomas Forstner
1989-06-22,1,Nur ein Lied,Thomas Forstner
1989-06-29,1,Nur ein Lied,Thomas Forstner
1989-07-06,1,Nur ein Lied,Thomas Forstner
1989-07-13,1,Nur ein Lied,Thomas Forstner
1989-07-20,1,Nur ein Lied,Thomas Forstner
1989-08-01,1,Americanos,Holly Johnson
1989-08-08,1,Americanos,Holly Johnson
1989-08-15,1,A Cry in the Night,"Lory ""Bonnie"" Bianco"
1989-08-22,1,A Cry in the Night,"Lory ""Bonnie"" Bianco"
1989-08-29,1,A Cry in the Night,"Lory ""Bonnie"" Bianco"
1989-09-06,1,A Cry in the Night,"Lory ""Bonnie"" Bianco"
1989-09-15,1,Swing the Mood,Jive Bunny and the Mastermixers
1989-09-22,1,Swing the Mood,Jive Bunny and the Mastermixers
1989-09-29,1,Swing the Mood,Jive Bunny and the Mastermixers
1989-10-06,1,Swing the Mood,Jive Bunny and the Mastermixers
