date,rank,song,artist
1940-01-01,1,Teresa,Dick Haymes & The Andrews Sisters
1940-01-08,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-01-15,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-01-22,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-01-29,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-02-05,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-02-12,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-02-19,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-02-26,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-03-04,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-03-05,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-03-11,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-03-12,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-03-18,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-03-19,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-03-25,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-03-26,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-04-01,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-04-02,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-04-08,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-04-09,1,Rambling Rose,Perry Como; Tony Pastor
1940-04-09,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-04-15,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-04-16,1,Rambling Rose,Perry Como; Tony Pastor
1940-04-16,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-04-22,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-04-23,1,Rambling Rose,Perry Como; Tony Pastor
1940-04-23,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-04-29,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-04-30,1,Rambling Rose,Perry Como; Tony Pastor
1940-04-30,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-05-06,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-05-07,1,Rambling Rose,Perry Como; Tony Pastor
1940-05-07,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-05-13,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-05-14,1,"Put 'em in a Box, Tie 'em with a Ribbon",Danny Kaye & The Andrews Sisters; Ray McKinley
1940-05-14,1,Rambling Rose,Perry Como; Tony Pastor
1940-05-14,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-05-20,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-05-21,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-05-21,1,"Put 'em in a Box, Tie 'em with a Ribbon",Danny Kaye & The Andrews Sisters; Ray McKinley
1940-05-21,1,Rambling Rose,Perry Como; Tony Pastor
1940-05-28,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-05-28,1,"Put 'em in a Box, Tie 'em with a Ribbon",Danny Kaye & The Andrews Sisters; Ray McKinley
1940-05-28,1,Slow Boat to China,Kay Kyser
1940-05-28,1,Rambling Rose,Perry Como; Tony Pastor
1940-06-04,1,Slow Boat to China,Kay Kyser
1940-06-04,1,Rambling Rose,Perry Como; Tony Pastor
1940-06-04,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-06-11,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-06-11,1,Slow Boat to China,Kay Kyser
1940-06-18,1,Slow Boat to China,Kay Kyser
1940-06-18,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-06-25,1,Buttons and Bows,Dinah Shore; Gene Autry
1940-06-25,1,Slow Boat to China,Kay Kyser
1940-07-02,1,Slow Boat to China,Kay Kyser
1940-07-09,1,Slow Boat to China,Kay Kyser
1940-07-09,1,The Pussy Cat Song,Patty Andrews & Bob Crosby
1940-07-16,1,Slow Boat to China,Kay Kyser
1940-07-16,1,The Pussy Cat Song,Patty Andrews & Bob Crosby
1940-07-23,1,Slow Boat to China,Kay Kyser
1940-07-23,1,The Pussy Cat Song,Patty Andrews & Bob Crosby
1940-07-30,1,The Pussy Cat Song,Patty Andrews & Bob Crosby
1940-07-30,1,Slow Boat to China,Kay Kyser
1940-08-06,1,The Pussy Cat Song,Patty Andrews & Bob Crosby
