date,rank,song,artist
1970-01-03,1,Liefdeverdriet,Will Tura
1970-01-10,1,Liefdeverdriet,Will Tura
1970-01-17,1,Thanks,J. Vincent Edward
1970-01-24,1,Thanks,J. Vincent Edward
1970-01-31,1,Thanks,J. Vincent Edward
1970-02-07,1,Thanks,J. Vincent Edward
1970-02-14,1,Thanks,J. Vincent Edward
1970-02-21,1,Jingo,Santana
1970-02-28,1,Jingo,Santana
1970-03-07,1,Jingo,Santana
1970-03-14,1,Travelin' Band,Creedence Clearwater Revival
1970-03-21,1,Who'll Stop the Rain,Creedence Clearwater Revival
1970-03-28,1,Who'll Stop the Rain,Creedence Clearwater Revival
1970-04-04,1,Who'll Stop the Rain,Creedence Clearwater Revival
1970-04-11,1,Dear Ann,George Baker Selection
1970-04-18,1,Dear Ann,George Baker Selection
1970-04-25,1,All Kinds of Everything,Dana
1970-05-02,1,All Kinds of Everything,Dana
1970-05-09,1,Mademoiselle Ninette,Soulful Dynamics
1970-05-16,1,Mademoiselle Ninette,Soulful Dynamics
1970-05-23,1,El Condor Pasa,Simon & Garfunkel
1970-05-30,1,El Condor Pasa,Simon & Garfunkel
1970-06-06,1,El Condor Pasa,Simon & Garfunkel
1970-06-13,1,Keep On Smiling,James Lloyd
1970-06-20,1,Keep On Smiling,James Lloyd
1970-06-27,1,Keep On Smiling,James Lloyd
1970-07-04,1,Yellow River,Christie
1970-07-11,1,Never Marry a Railroad Man,Shocking Blue
1970-07-18,1,In the Summertime,Mungo Jerry
1970-07-25,1,In the Summertime,Mungo Jerry
1970-08-01,1,In the Summertime,Mungo Jerry
1970-08-08,1,In the Summertime,Mungo Jerry
1970-08-15,1,In the Summertime,Mungo Jerry
1970-08-22,1,In the Summertime,Mungo Jerry
1970-08-29,1,Are You Ready,Pacific Gas & Electric
1970-09-05,1,Are You Ready,Pacific Gas & Electric
1970-09-12,1,Are You Ready,Pacific Gas & Electric
1970-09-19,1,Are You Ready,Pacific Gas & Electric
1970-09-26,1,Are You Ready,Pacific Gas & Electric
1970-10-03,1,Are You Ready,Pacific Gas & Electric
1970-10-10,1,Comme j'ai toujours envie d'aimer,Marc Hamilton
1970-10-17,1,Comme j'ai toujours envie d'aimer,Marc Hamilton
1970-10-24,1,Comme j'ai toujours envie d'aimer,Marc Hamilton
1970-10-31,1,Comme j'ai toujours envie d'aimer,Marc Hamilton
1970-11-07,1,Comme j'ai toujours envie d'aimer,Marc Hamilton
1970-11-14,1,Comme j'ai toujours envie d'aimer,Marc Hamilton
1970-11-21,1,Comme j'ai toujours envie d'aimer,Marc Hamilton
1970-11-28,1,Comme j'ai toujours envie d'aimer,Marc Hamilton
1970-12-05,1,Rozen voor Sandra,Jimmy Frey
1970-12-12,1,Rozen voor Sandra,Jimmy Frey
1970-12-19,1,Rozen voor Sandra,Jimmy Frey
1970-12-26,1,Rozen voor Sandra,Jimmy Frey
1971-01-02,1,Rozen voor Sandra,Jimmy Frey
1971-01-09,1,Rozen voor Sandra,Jimmy Frey
1971-01-16,1,My Sweet Lord,George Harrison
1971-01-23,1,My Sweet Lord,George Harrison
1971-01-30,1,My Sweet Lord,George Harrison
1971-02-06,1,My Sweet Lord,George Harrison
1971-02-13,1,Rose Garden,Lynn Anderson
1971-02-20,1,Rose Garden,Lynn Anderson
1971-02-27,1,Rose Garden,Lynn Anderson
1971-03-06,1,Rose Garden,Lynn Anderson
1971-03-13,1,Chirpy Chirpy Cheep Cheep,Middle of the Road
1971-03-20,1,Chirpy Chirpy Cheep Cheep,Middle of the Road
