date,rank,song,artist
2025-01-04,1,Última Noite,Léo Foguete
2025-01-11,1,Última Noite,Léo Foguete
2025-01-18,1,Oh Garota Eu Quero Você Só Pra Mim,"Oruam, Zé Felipe and MC Tuto featuring DJ LC da Roca, MC K9, MC Rodrigo do CN and MC Pl Alves"
2025-01-25,1,Oh Garota Eu Quero Você Só Pra Mim,"Oruam, Zé Felipe and MC Tuto featuring DJ LC da Roca, MC K9, MC Rodrigo do CN and MC Pl Alves"
2025-02-01,1,Última Noite,Léo Foguete
2025-02-08,1,Última Noite,Léo Foguete
2025-02-15,1,Oh Garota Eu Quero Você Só Pra Mim,"Oruam, Zé Felipe and MC Tuto featuring DJ LC da Roca, MC K9, MC Rodrigo do CN and MC Pl Alves"
2025-02-22,1,Oh Garota Eu Quero Você Só Pra Mim,"Oruam, Zé Felipe and MC Tuto featuring DJ LC da Roca, MC K9, MC Rodrigo do CN and MC Pl Alves"
2025-03-01,1,Oh Garota Eu Quero Você Só Pra Mim,"Oruam, Zé Felipe and MC Tuto featuring DJ LC da Roca, MC K9, MC Rodrigo do CN and MC Pl Alves"
2025-03-08,1,Oh Garota Eu Quero Você Só Pra Mim,"Oruam, Zé Felipe and MC Tuto featuring DJ LC da Roca, MC K9, MC Rodrigo do CN and MC Pl Alves"
2025-03-15,1,Resenha do Arrocha,J. Eskine
2025-03-22,1,Mãe Solteira,"DG e Batidão Stronda, MC Davi, J. Eskine and MC G15"
2025-03-29,1,Mãe Solteira,"DG e Batidão Stronda, MC Davi, J. Eskine and MC G15"
2025-04-05,1,Mãe Solteira,"DG e Batidão Stronda, MC Davi, J. Eskine and MC G15"
2025-04-12,1,Mãe Solteira,"DG e Batidão Stronda, MC Davi, J. Eskine and MC G15"
2025-04-19,1,Tubarões,Diego & Victor Hugo
2025-04-26,1,Tubarões,Diego & Victor Hugo
2025-05-03,1,Tubarões,Diego & Victor Hugo
2025-05-10,1,Tubarões,Diego & Victor Hugo
2025-05-17,1,Tubarões,Diego & Victor Hugo
2025-05-24,1,Tubarões,Diego & Victor Hugo
2025-05-31,1,P do Pecado,Menos é Mais and Simone Mendes
2025-06-07,1,P do Pecado,Menos é Mais and Simone Mendes
2025-06-14,1,Tubarões,Diego & Victor Hugo
2025-06-21,1,Tubarões,Diego & Victor Hugo
2025-06-28,1,Tubarões,Diego & Victor Hugo
2025-07-05,1,P do Pecado,Menos é Mais and Simone Mendes
2025-07-12,1,P do Pecado,Menos é Mais and Simone Mendes
2025-07-19,1,P do Pecado,Menos é Mais and Simone Mendes
2025-07-26,1,P do Pecado,Menos é Mais and Simone Mendes
2025-08-02,1,P do Pecado,Menos é Mais and Simone Mendes
2025-08-09,1,P do Pecado,Menos é Mais and Simone Mendes
2025-08-16,1,P do Pecado,Menos é Mais and Simone Mendes
2025-08-23,1,P do Pecado,Menos é Mais and Simone Mendes
2025-08-30,1,P do Pecado,Menos é Mais and Simone Mendes
2025-09-06,1,P do Pecado,Menos é Mais and Simone Mendes
