date,rank,song,artist
1964-01-06,1,Louie Louie,The Kingsmen
1964-01-13,1,Louie Louie,The Kingsmen
1964-01-20,1,She Loves You,The Beatles
1964-01-27,1,She Loves You,The Beatles
1964-02-03,1,She Loves You,The Beatles
1964-02-10,1,"I Want to Hold Your Hand"" / ""I Saw Her Standing There",The Beatles
1964-02-17,1,"I Want to Hold Your Hand"" / ""I Saw Her Standing There",The Beatles
1964-02-24,1,"I Want to Hold Your Hand"" / ""I Saw Her Standing There",The Beatles
1964-03-02,1,"I Want to Hold Your Hand"" / ""I Saw Her Standing There",The Beatles
1964-03-09,1,"I Want to Hold Your Hand"" / ""I Saw Her Standing There",The Beatles
1964-03-16,1,"I Want to Hold Your Hand"" / ""I Saw Her Standing There",The Beatles
1964-03-23,1,"All My Loving"" / ""This Boy",The Beatles
1964-03-30,1,"All My Loving"" / ""This Boy",The Beatles
1964-04-06,1,"All My Loving"" / ""This Boy",The Beatles
1964-04-13,1,"All My Loving"" / ""This Boy",The Beatles
1964-04-20,1,"All My Loving"" / ""This Boy",The Beatles
1964-04-27,1,Bits and Pieces,The Dave Clark Five
1964-05-04,1,Bits and Pieces,The Dave Clark Five
1964-05-11,1,Bits and Pieces,The Dave Clark Five
1964-05-18,1,Bits and Pieces,The Dave Clark Five
1964-05-25,1,I'm the One,Gerry and the Pacemakers
1964-06-01,1,I'm the One,Gerry and the Pacemakers
1964-06-08,1,A World Without Love,Peter and Gordon
1964-06-15,1,A World Without Love,Peter and Gordon
1964-06-22,1,Chapel of Love,The Dixie Cups
1964-06-22,1,A World Without Love,Peter and Gordon
1964-06-29,1,I Get Around,The Beach Boys
1964-07-06,1,Memphis,Johnny Rivers
1964-07-13,1,Rag Doll,The Four Seasons
1964-07-20,1,Rag Doll,The Four Seasons
1964-07-27,1,Rag Doll,The Four Seasons
1964-08-04,1,Rag Doll,The Four Seasons
1964-08-11,1,The Little Old Lady,Jan and Dean
1964-08-17,1,A Hard Day's Night,The Beatles
1964-09-01,1,Where Did Our Love Go,The Supremes
1964-09-08,1,The House of the Rising Sun,The Animals
1964-09-14,1,Bread and Butter,The Newbeats
1964-09-21,1,Save It for Me,The Four Seasons
1964-09-28,1,"Oh, Pretty Woman",Roy Orbison
1964-10-05,1,Do Wah Diddy Diddy,Manfred Mann
1964-10-12,1,Do Wah Diddy Diddy,Manfred Mann
1964-10-19,1,When I Grow Up,The Beach Boys
1964-10-26,1,When I Grow Up,The Beach Boys
1964-11-02,1,Have I the Right?,The Honeycombs
1964-11-09,1,Have I the Right?,The Honeycombs
1964-11-16,1,"Ain't That Lovin' You, Baby",Elvis Presley
1964-11-23,1,"Ain't That Lovin' You, Baby",Elvis Presley
