date,rank,song,artist
1956-01-07,1,Der Mond hält seine Wacht,Peter Alexander
1956-01-14,1,Der Mond hält seine Wacht,Peter Alexander
1956-01-21,1,Der Mond hält seine Wacht,Peter Alexander
1956-01-28,1,Der Mond hält seine Wacht,Peter Alexander
1956-02-04,1,Der Mond hält seine Wacht,Peter Alexander
1956-02-11,1,"Eventuell, eventuell",Peter Alexander & Caterina Valente
1956-02-18,1,"Eventuell, eventuell",Peter Alexander & Caterina Valente
1956-02-25,1,"Eventuell, eventuell",Peter Alexander & Caterina Valente
1956-03-03,1,"Eventuell, eventuell",Peter Alexander & Caterina Valente
1956-03-10,1,"Eventuell, eventuell",Peter Alexander & Caterina Valente
1956-03-17,1,"Eventuell, eventuell",Peter Alexander & Caterina Valente
1956-03-24,1,"Eventuell, eventuell",Peter Alexander & Caterina Valente
1956-03-31,1,Tiritomba,Margot Eskens
1956-04-07,1,Tiritomba,Margot Eskens
1956-04-14,1,Tiritomba,Margot Eskens
1956-04-21,1,Tiritomba,Margot Eskens
1956-04-28,1,Tiritomba,Margot Eskens
1956-05-05,1,Tiritomba,Margot Eskens
1956-05-12,1,Tiritomba,Margot Eskens
1956-05-19,1,Steig in das Traumboot der Liebe,Caterina Valente & Silvio Francesco as Club Indonesia
1956-05-26,1,Steig in das Traumboot der Liebe,Caterina Valente & Silvio Francesco as Club Indonesia
1956-06-02,1,Steig in das Traumboot der Liebe,Caterina Valente & Silvio Francesco as Club Indonesia
1956-06-09,1,Steig in das Traumboot der Liebe,Caterina Valente & Silvio Francesco as Club Indonesia
1956-06-16,1,Steig in das Traumboot der Liebe,Caterina Valente & Silvio Francesco as Club Indonesia
1956-06-23,1,Steig in das Traumboot der Liebe,Caterina Valente & Silvio Francesco as Club Indonesia
1956-06-30,1,Rock Around the Clock,Bill Haley & His Comets
1956-07-07,1,Rock Around the Clock,Bill Haley & His Comets
1956-07-14,1,Rock Around the Clock,Bill Haley & His Comets
1956-07-21,1,Rock Around the Clock,Bill Haley & His Comets
1956-07-28,1,Heimweh,Freddy Quinn
1956-08-04,1,Heimweh,Freddy Quinn
1956-08-11,1,Heimweh,Freddy Quinn
1956-08-18,1,Heimweh,Freddy Quinn
1956-08-25,1,Heimweh,Freddy Quinn
1956-09-01,1,Heimweh,Freddy Quinn
1956-09-08,1,Heimweh,Freddy Quinn
1956-09-15,1,Heimweh,Freddy Quinn
1956-09-22,1,Heimweh,Freddy Quinn
1956-09-29,1,Heimweh,Freddy Quinn
1956-10-06,1,Heimweh,Freddy Quinn
1956-10-13,1,Heimweh,Freddy Quinn
1956-10-20,1,Heimweh,Freddy Quinn
1956-10-27,1,Heimweh,Freddy Quinn
1956-11-03,1,Rosalie,Freddy Quinn
1956-11-10,1,Rosalie,Freddy Quinn
1956-11-17,1,Rosalie,Freddy Quinn
1956-11-24,1,Smoky,Die Sieben Raben
1956-12-01,1,Smoky,Die Sieben Raben
1956-12-08,1,Smoky,Die Sieben Raben
1956-12-15,1,Smoky,Die Sieben Raben
1956-12-22,1,Smoky,Die Sieben Raben
1956-12-29,1,Smoky,Die Sieben Raben
1957-01-05,1,Smoky,Die Sieben Raben
1957-01-12,1,Smoky,Die Sieben Raben
1957-01-19,1,Oh Billy Boy,Club Argentina
1957-01-26,1,Oh Billy Boy,Club Argentina
1957-02-02,1,Sei zufrieden,Lukas-Trio
1957-02-09,1,Sei zufrieden,Lukas-Trio
1957-02-16,1,Ich weiß was dir fehlt,Peter Alexander
1957-02-23,1,Ich weiß was dir fehlt,Peter Alexander
1957-03-02,1,Ich weiß was dir fehlt,Peter Alexander
1957-03-09,1,"Cindy, Oh Cindy",Wolfgang Sauer
1957-03-16,1,"Cindy, Oh Cindy",Wolfgang Sauer
1957-03-23,1,"Cindy, Oh Cindy",Wolfgang Sauer
1957-03-30,1,"Cindy, Oh Cindy",Margot Eskens
1957-04-06,1,"Cindy, Oh Cindy",Margot Eskens
1957-04-13,1,"Cindy, Oh Cindy",Margot Eskens
1957-04-20,1,"Cindy, Oh Cindy",Margot Eskens
1957-04-27,1,"Cindy, Oh Cindy",Margot Eskens
1957-05-04,1,"Cindy, Oh Cindy",Margot Eskens
1957-05-11,1,"Cindy, Oh Cindy",Margot Eskens
1957-05-18,1,"Cindy, Oh Cindy",Margot Eskens
1957-05-25,1,"Cindy, Oh Cindy",Margot Eskens
1957-06-01,1,"Cindy, Oh Cindy",Margot Eskens
1957-06-08,1,Heimatlos,Freddy Quinn
1957-06-15,1,Heimatlos,Freddy Quinn
1957-06-22,1,Heimatlos,Freddy Quinn
1957-06-29,1,Heimatlos,Freddy Quinn
1957-07-06,1,Heimatlos,Freddy Quinn
1957-07-13,1,Banana Boat Song,Harry Belafonte
1957-07-20,1,Banana Boat Song,Harry Belafonte
1957-07-27,1,Banana Boat Song,Harry Belafonte
1957-08-03,1,Banana Boat Song,Harry Belafonte
1957-08-10,1,Banana Boat Song,Harry Belafonte
1957-08-17,1,Banana Boat Song,Harry Belafonte
1957-08-24,1,Banana Boat Song,Harry Belafonte
1957-08-31,1,Banana Boat Song,Harry Belafonte
1957-09-07,1,Banana Boat Song,Harry Belafonte
1957-09-14,1,Banana Boat Song,Harry Belafonte
1957-09-21,1,Banana Boat Song,Harry Belafonte
1957-09-28,1,Banana Boat Song,Harry Belafonte
1957-10-05,1,Banana Boat Song,Harry Belafonte
1957-10-12,1,Köhlerliesel,Die Heimatsänger
1957-10-19,1,Köhlerliesel,Die Heimatsänger
1957-10-26,1,Köhlerliesel,Die Heimatsänger
1957-11-02,1,Köhlerliesel,Die Heimatsänger
1957-11-09,1,Köhlerliesel,Die Heimatsänger
1957-11-16,1,Siebenmal in der Woche,Vico Torriani
1957-11-23,1,Siebenmal in der Woche,Vico Torriani
1957-11-30,1,Siebenmal in der Woche,Vico Torriani
1957-12-07,1,Siebenmal in der Woche,Vico Torriani
1957-12-14,1,Siebenmal in der Woche,Vico Torriani
1957-12-21,1,Wo meine Sonne scheint,Caterina Valente
1957-12-28,1,Wo meine Sonne scheint,Caterina Valente
1958-01-04,1,Wo meine Sonne scheint,Caterina Valente
1958-01-11,1,Wo meine Sonne scheint,Caterina Valente
1958-01-18,1,Wo meine Sonne scheint,Caterina Valente
1958-01-25,1,Der lachende Vagabund,Fred Bertelmann
1958-02-01,1,Der lachende Vagabund,Fred Bertelmann
1958-02-08,1,Der lachende Vagabund,Fred Bertelmann
1958-02-15,1,Der lachende Vagabund,Fred Bertelmann
1958-02-22,1,Der lachende Vagabund,Fred Bertelmann
1958-03-08,1,Der lachende Vagabund,Fred Bertelmann
1958-03-15,1,Der lachende Vagabund,Fred Bertelmann
1958-03-22,1,Der lachende Vagabund,Fred Bertelmann
1958-03-29,1,Der lachende Vagabund,Fred Bertelmann
1958-04-05,1,Der lachende Vagabund,Fred Bertelmann
1958-04-12,1,River Kwai March,Mitch Miller
1958-04-19,1,River Kwai March,Mitch Miller
1958-04-26,1,River Kwai March,Mitch Miller
1958-05-03,1,River Kwai March,Mitch Miller
1958-05-10,1,River Kwai March,Mitch Miller
1958-05-17,1,River Kwai March,Mitch Miller
1958-05-24,1,River Kwai March,Mitch Miller
1958-05-31,1,River Kwai March,Mitch Miller
1958-06-07,1,River Kwai March,Mitch Miller
1958-06-14,1,River Kwai March,Mitch Miller
1958-06-21,1,River Kwai March,Mitch Miller
1958-06-28,1,River Kwai March,Mitch Miller
1958-07-05,1,River Kwai March,Mitch Miller
1958-07-12,1,Sail Along Silvery Moon,Billy Vaughn
1958-07-19,1,Sail Along Silvery Moon,Billy Vaughn
1958-07-26,1,Sail Along Silvery Moon,Billy Vaughn
1958-08-02,1,Sail Along Silvery Moon,Billy Vaughn
1958-08-09,1,Sail Along Silvery Moon,Billy Vaughn
1958-08-16,1,Sail Along Silvery Moon,Billy Vaughn
1958-08-23,1,Sail Along Silvery Moon,Billy Vaughn
1958-08-30,1,Sail Along Silvery Moon,Billy Vaughn
1958-09-06,1,Sail Along Silvery Moon,Billy Vaughn
1958-09-13,1,Sail Along Silvery Moon,Billy Vaughn
1958-09-20,1,Der Legionär,Freddy Quinn
1958-09-27,1,Der Legionär,Freddy Quinn
1958-10-04,1,Der Legionär,Freddy Quinn
1958-10-11,1,Hula Baby,Peter Kraus
1958-10-18,1,Patricia,Pérez Prado
1958-10-25,1,Patricia,Pérez Prado
1958-11-01,1,Patricia,Pérez Prado
1958-11-08,1,Ich bin bald wieder hier,Freddy Quinn
1958-11-15,1,Ich bin bald wieder hier,Freddy Quinn
1958-11-22,1,La Paloma,Billy Vaughn
1958-11-29,1,La Paloma,Billy Vaughn
1958-12-06,1,La Paloma,Billy Vaughn
1958-12-13,1,La Paloma,Billy Vaughn
1958-12-20,1,La Paloma,Billy Vaughn
1958-12-27,1,La Paloma,Billy Vaughn
1959-01-03,1,La Paloma,Billy Vaughn
1959-01-10,1,La Paloma,Billy Vaughn
1959-01-17,1,La Paloma,Billy Vaughn
1959-01-24,1,La Paloma,Billy Vaughn
1959-01-31,1,Tom Dooley,Nilsen Brothers
1959-02-07,1,Tom Dooley,Nilsen Brothers
1959-02-14,1,Tom Dooley,Nilsen Brothers
1959-02-21,1,Tom Dooley,Nilsen Brothers
1959-02-28,1,Tom Dooley,Nilsen Brothers
1959-03-07,1,Tom Dooley,Nilsen Brothers
1959-03-14,1,Tom Dooley,Nilsen Brothers
1959-03-21,1,Tom Dooley,Kingston Trio
1959-03-28,1,Tom Dooley,Kingston Trio
1959-04-04,1,Tom Dooley,Kingston Trio
1959-04-11,1,Tom Dooley,Kingston Trio
1959-04-18,1,Tom Dooley,Kingston Trio
1959-04-25,1,Die Gitarre und das Meer,Freddy Quinn
1959-05-02,1,Die Gitarre und das Meer,Freddy Quinn
1959-05-09,1,Die Gitarre und das Meer,Freddy Quinn
1959-05-16,1,Die Gitarre und das Meer,Freddy Quinn
1959-05-23,1,Die Gitarre und das Meer,Freddy Quinn
1959-05-30,1,Die Gitarre und das Meer,Freddy Quinn
1959-06-06,1,Die Gitarre und das Meer,Freddy Quinn
1959-06-13,1,Die Gitarre und das Meer,Freddy Quinn
1959-06-20,1,Die Gitarre und das Meer,Freddy Quinn
1959-06-27,1,Die Gitarre und das Meer,Freddy Quinn
1959-07-04,1,Die Gitarre und das Meer,Freddy Quinn
1959-07-11,1,Die Gitarre und das Meer,Freddy Quinn
1959-07-18,1,Die Gitarre und das Meer,Freddy Quinn
1959-07-25,1,Die Gitarre und das Meer,Freddy Quinn
1959-08-01,1,"Am Tag, als der Regen kam",Dalida
1959-08-08,1,"Am Tag, als der Regen kam",Dalida
1959-08-15,1,"Am Tag, als der Regen kam",Dalida
1959-08-22,1,"Am Tag, als der Regen kam",Dalida
1959-08-29,1,"Am Tag, als der Regen kam",Dalida
1959-09-05,1,"Am Tag, als der Regen kam",Dalida
1959-09-12,1,"Am Tag, als der Regen kam",Dalida
1959-09-19,1,"Am Tag, als der Regen kam",Dalida
1959-09-26,1,"Am Tag, als der Regen kam",Dalida
1959-10-03,1,"Am Tag, als der Regen kam",Dalida
1959-10-10,1,Souvenirs,Bill Ramsey
1959-10-17,1,Souvenirs,Bill Ramsey
1959-10-24,1,Souvenirs,Bill Ramsey
1959-10-31,1,Souvenirs,Bill Ramsey
1959-11-07,1,Souvenirs,Bill Ramsey
1959-11-14,1,Souvenirs,Bill Ramsey
1959-11-21,1,Unter fremden Sternen,Freddy Quinn
1959-11-28,1,Unter fremden Sternen,Freddy Quinn
1959-12-05,1,Unter fremden Sternen,Freddy Quinn
1959-12-12,1,Unter fremden Sternen,Freddy Quinn
1959-12-19,1,Unter fremden Sternen,Freddy Quinn
1959-12-26,1,Unter fremden Sternen,Freddy Quinn
1960-01-02,1,Marina,Rocco Granata
1960-01-09,1,Marina,Rocco Granata
1960-01-16,1,Marina,Rocco Granata
1960-01-23,1,Marina,Rocco Granata
1960-01-30,1,Marina,Rocco Granata
1960-02-06,1,Marina,Rocco Granata
1960-02-13,1,Marina,Rocco Granata
1960-02-20,1,Marina,Rocco Granata
1960-02-27,1,Marina,Rocco Granata
1960-03-05,1,Banjo Boy,Jan & Kjeld
1960-03-12,1,Banjo Boy,Jan & Kjeld
1960-03-19,1,Banjo Boy,Jan & Kjeld
1960-03-26,1,Banjo Boy,Jan & Kjeld
1960-04-02,1,Banjo Boy,Jan & Kjeld
1960-04-09,1,Banjo Boy,Jan & Kjeld
1960-04-16,1,Banjo Boy,Jan & Kjeld
1960-04-23,1,Banjo Boy,Jan & Kjeld
1960-04-30,1,Banjo Boy,Jan & Kjeld
1960-05-07,1,Banjo Boy,Jan & Kjeld
1960-05-14,1,Wir wollen niemals auseinandergehn,Heidi Brühl
1960-05-21,1,Wir wollen niemals auseinandergehn,Heidi Brühl
1960-05-28,1,Wir wollen niemals auseinandergehn,Heidi Brühl
1960-06-04,1,Wir wollen niemals auseinandergehn,Heidi Brühl
1960-06-11,1,Wir wollen niemals auseinandergehn,Heidi Brühl
1960-06-18,1,Wir wollen niemals auseinandergehn,Heidi Brühl
1960-06-25,1,Wir wollen niemals auseinandergehn,Heidi Brühl
1960-07-02,1,Milord,Dalida
1960-07-09,1,Milord,Dalida
1960-07-16,1,Milord,Dalida
1960-07-23,1,Milord,Dalida
1960-07-30,1,Milord,Dalida
1960-08-06,1,Milord,Dalida
1960-08-13,1,Milord,Dalida
1960-08-20,1,Milord,Dalida
1960-08-27,1,Milord,Dalida
1960-09-03,1,Kalkutta liegt am Ganges,Vico Torriani
1960-09-10,1,Kalkutta liegt am Ganges,Vico Torriani
1960-09-17,1,Itsy Bitsy Teenie Weenie Honolulu-Strand-Bikini,Club Honolulu
1960-09-24,1,Itsy Bitsy Teenie Weenie Honolulu-Strand-Bikini,Club Honolulu
