date,rank,song,artist
1959-01-05,1,Las chicas De La Cruz Roja,Ana María Parra
1959-01-12,1,Las chicas De La Cruz Roja,Ana María Parra
1959-01-19,1,Las chicas De La Cruz Roja,Ana María Parra
1959-01-26,1,Las chicas De La Cruz Roja,Ana María Parra
1959-02-02,1,Como Antes,Los 5 Latinos
1959-02-09,1,Como Antes,Los 5 Latinos
1959-02-16,1,Mariquilla,José Luís Y Su Guitarra
1959-02-23,1,Mariquilla,José Luís Y Su Guitarra
1959-03-02,1,Mariquilla,José Luís Y Su Guitarra
1959-03-09,1,Mariquilla,José Luís Y Su Guitarra
1959-03-16,1,Mariquilla,José Luís Y Su Guitarra
1959-03-23,1,Mariquilla,José Luís Y Su Guitarra
1959-03-30,1,Mariquilla,José Luís Y Su Guitarra
1959-04-06,1,Mariquilla,José Luís Y Su Guitarra
1959-04-13,1,Mariquilla,José Luís Y Su Guitarra
1959-04-20,1,Mariquilla,José Luís Y Su Guitarra
1959-04-27,1,Mariquilla,José Luís Y Su Guitarra
1959-05-04,1,Mariquilla,José Luís Y Su Guitarra
1959-05-11,1,Diana,Paul Anka
1959-05-18,1,Diana,Paul Anka
1959-05-25,1,Diana,Paul Anka
1959-06-01,1,Diana,Paul Anka
1959-06-08,1,Diana,Paul Anka
1959-06-15,1,Diana,Paul Anka
1959-06-22,1,Diana,Paul Anka
1959-06-29,1,Diana,Paul Anka
1959-07-06,1,Diana,Paul Anka
1959-07-13,1,Diana,Paul Anka
1959-07-20,1,Recordándote,Los 5 Latinos
1959-07-27,1,Recordándote,Los 5 Latinos
1959-08-03,1,Recordándote,Los 5 Latinos
1959-08-10,1,Un Telegrama,Monna Bell
1959-08-17,1,Luna De Miel,Gloria Lasso
1959-08-24,1,Luna De Miel,Gloria Lasso
1959-08-31,1,Luna De Miel,Gloria Lasso
1959-09-07,1,Un Telegrama,Monna Bell
1959-09-14,1,Un Telegrama,Monna Bell
1959-09-21,1,Un Telegrama,Monna Bell
1959-09-28,1,You Are My Destiny,Paul Anka
1959-10-05,1,You Are My Destiny,Paul Anka
1959-10-12,1,La Montaña,José Guardiola
1959-10-19,1,La Montaña,José Guardiola
1959-10-26,1,You Are My Destiny,Paul Anka
1959-11-02,1,You Are My Destiny,Paul Anka
1959-11-09,1,You Are My Destiny,Paul Anka
1959-11-16,1,You Are My Destiny,Paul Anka
1959-11-23,1,Mare Nostrum,Elder Barber
1959-11-30,1,Mare Nostrum,Elder Barber
1959-12-07,1,Lonely Boy,Paul Anka
1959-12-14,1,Lonely Boy,Paul Anka
1959-12-21,1,Lonely Boy,Paul Anka
1959-12-28,1,La Canción de Orfeo,Gloria Lasso
1960-01-04,1,Lonely Boy,Paul Anka
1960-01-11,1,Lonely Boy,Paul Anka
1960-01-18,1,Lonely Boy,Paul Anka
1960-01-25,1,La Montaña,Lucho Gatica
1960-02-01,1,La Montaña,Lucho Gatica
1960-02-08,1,El Día De Los Enamorados,Monna Bell
1960-02-15,1,El Día De Los Enamorados,Monna Bell
1960-02-22,1,El Día De Los Enamorados,Monna Bell
1960-02-29,1,Mackie El Navaja,José Guardiola
1960-03-07,1,Mackie El Navaja,José Guardiola
1960-03-14,1,Ansiedad,"Nat ""King"" Cole"
1960-03-21,1,Ansiedad,"Nat ""King"" Cole"
