date,rank,song,artist
2010-01-16,1,Rain,Mika
2010-01-16,1,Tik Tok,Kesha
2010-01-23,1,Bad Romance,Lady Gaga
2010-01-30,1,"Dingue, dingue, dingue",Christophe Maé
2010-01-30,1,Empire State of Mind,Jay-Z featuring Alicia Keys
2010-02-20,1,We Are the World 25 for Haiti,Artists for Haiti
2010-02-27,1,Uprising,Muse
2010-02-27,1,Pas besoin de toi,Joyce Jonathan
2010-02-27,1,Alors on danse,Stromae
2010-03-06,1,Rude Boy,Rihanna
2010-03-06,1,Memories,David Guetta featuring Kid Cudi
2010-03-13,1,Pour un infidèle,Cœur de pirate and Julien Doré
2010-03-20,1,"Si l'on s'aimait, si",Les Enfoirés
2010-03-20,1,Replay,Iyaz
2010-03-27,1,Rock That Body,Black Eyed Peas
2010-03-27,1,Sur la tête de ma mère,L'Algérino
2010-03-27,1,Fight for This Love,Cheryl Cole
2010-03-27,1,J'ai laissé,Christophe Maé
2010-04-03,1,Telephone,Lady Gaga featuring Beyonce
2010-04-03,1,Chanson sur une drôle de vie,Géraldine Nakache and Leïla Bekhti
2010-04-03,1,Non non non,Camélia Jordana
2010-04-10,1,Baby,Justin Bieber featuring Ludacris
2010-04-17,1,Fireflies,Owl City
2010-04-17,1,This Is My Life,Edward Maya featuring Vika Jigulina
2010-04-17,1,Désolé,Sexion d'Assaut
2010-04-24,1,No Superstar,Remady
2010-05-01,1,Hold My Hand,Sean Paul featuring Zaho
2010-05-01,1,Break Your Heart,Taio Cruz
2010-05-08,1,Going On,Gnarls Barkley
2010-05-08,1,Wati By Night,Sexion d'Assaut
2010-05-15,1,Hot,Inna
2010-05-15,1,If We Ever Meet Again,Timbaland featuring Katy Perry
2010-05-22,1,Help Myself,Gaëtan Roussel
2010-05-22,1,She Said,Plan B
2010-06-05,1,"Hey, Soul Sister",Train
2010-06-12,1,Gettin' Over You,David Guetta and Chris Willis featuring Fergie and LMFAO
2010-06-12,1,Te Amo,Rihanna
2010-06-12,1,Alejandro,Lady Gaga
2010-06-19,1,Waka Waka,Shakira featuring Freshlyground
2010-06-19,1,Je sais,Shy'm
2010-06-26,1,Je veux,Zaz
2010-07-10,1,Wavin' Flag,K'naan and Féfé
2010-07-17,1,I Like It,Enrique Iglesias featuring Pitbull
2010-07-17,1,California Gurls,Katy Perry featuring Snoop Dogg
2010-07-24,1,Ce matin va être une pure soirée,Fatal Bazooka
2010-07-31,1,Amazing,Inna
2010-08-14,1,Mignon Mignon,René la Taupe
2010-09-04,1,We No Speak Americano,Yolanda Be Cool and DCUP
2010-09-11,1,Love the Way You Lie,Eminem featuring Rihanna
2010-09-11,1,Teenage Dream,Katy Perry
2010-09-18,1,Club Can't Handle Me,Flo Rida featuring David Guetta
2010-09-25,1,Bumpy Ride,Mohombi
2010-09-25,1,Dynamite,Taio Cruz
2010-10-02,1,Airplanes,B.o.B featuring Hayley Williams
2010-10-02,1,Only Girl,Rihanna
2010-10-09,1,Hiro,Soprano
2010-10-16,1,Wonder Why,Julian Perretta
2010-10-16,1,Oui mais... non,Mylène Farmer
2010-10-23,1,Loca,Shakira featuring Dizzee Rascal
2010-10-23,1,DJ Got Us Fallin' in Love,Usher featuring Pitbull
2010-11-06,1,Hello,Martin Solveig featuring Dragonette
2010-11-06,1,Toi et moi,Guillaume Grand
2010-11-06,1,Barbra Streisand,Duck Sauce
2010-11-13,1,Les p'tits de chez moi,Mister You
2010-11-13,1,Cooler than Me,Mike Posner
2010-11-20,1,The Time,Black Eyed Peas
2010-11-27,1,Higher,Taio Cruz featuring Kylie Minogue
2010-11-27,1,Who's That Chick?,David Guetta featuring Rihanna
2010-12-11,1,What's My Name?,Rihanna featuring Drake
2010-12-18,1,Over the Rainbow,Israel Kamakawiwo'ole
2010-12-25,1,Firework,Katy Perry
2011-01-14,1,Whataya Want from Me,Adam Lambert
2011-02-11,1,Born This Way,Lady Gaga
2011-02-18,1,Mr. Saxobeat,Alexandra Stan
2011-02-25,1,Grenade,Bruno Mars
2011-03-04,1,Sun Is Up,Inna
2011-03-04,1,Celui...,Colonel Reyel
2011-03-04,1,S&M,Rihanna
2011-03-11,1,Toutes les nuits,Colonel Reyel
2011-03-18,1,On the Floor,Jennifer Lopez featuring Pitbull
2011-03-18,1,On demande pas la lune,Les Enfoirés
2011-03-25,1,Coming Home,Diddy - Dirty Money featuring Skylar Grey
2011-03-25,1,Just Can't Get Enough,The Black Eyed Peas
2011-04-01,1,Civilization,Justice
2011-04-01,1,Rolling in the Deep,Adele
2011-04-15,1,Aurélie,Colonel Reyel
2011-04-15,1,Chérie Coco,Magic System and Soprano
2011-04-22,1,L'horloge tourne,Mickaël Miro
2011-04-22,1,Bleu Noir,Mylène Farmer
2011-04-29,1,Price Tag,Jessie J featuring B.o.B
2011-04-29,1,E.T.,Katy Perry featuring Kanye West
2011-05-06,1,J'aimerais trop,Keen'V
2011-05-06,1,Sweat,Snoop Dogg vs. David Guetta
2011-05-13,1,The Edge of Glory,Lady Gaga
2011-05-20,1,Till the World Ends,Britney Spears
2011-05-20,1,Judas,Lady Gaga
2011-05-20,1,Party Rock Anthem,LMFAO featuring Lauren Bennett and GoonRock
2011-06-10,1,À nos actes manqués,M. Pokora
2011-06-10,1,Give Me Everything,"Pitbull featuring Ne-Yo, Afrojack and Nayer"
2011-06-17,1,Don't Stop the Party,The Black Eyed Peas
2011-06-17,1,Rabiosa,Shakira featuring Pitbull
2011-06-24,1,Vamos a la playa,Loona
2011-07-01,1,Laisse tomber tes problèmes,Collectif Métissé
2011-07-08,1,Lonely Lisa,Mylène Farmer
2011-07-15,1,Where Them Girls At,David Guetta featuring Flo Rida and Nicki Minaj
2011-07-22,1,Il nous faut,Elisa Tovati and Tom Dice
2011-07-29,1,Man Down,Rihanna
2011-08-05,1,French Cancan,Inna Modja
2011-08-12,1,Titanium,David Guetta and Sia
2011-08-26,1,Welcome to St. Tropez,DJ Antoine vs Timati featuring Kalenna
2011-08-26,1,Got 2 Luv U,Sean Paul featuring Alexis Jordan
2011-09-02,1,Elle me dit,Mika
2011-09-09,1,I Wanna Go,Britney Spears
2011-09-09,1,Little Bad Girl,David Guetta featuring Taio Cruz and Ludacris
2011-09-23,1,Moves like Jagger,Maroon 5 featuring Christina Aguilera
2011-09-23,1,Rain Over Me,Pitbull featuring Marc Anthony
2011-09-30,1,We Found Love,Rihanna featuring Calvin Harris
2011-10-07,1,Set Fire to the Rain,Adele
2011-10-14,1,Logobitombo,Moussier Tombola
2011-10-14,1,Someone like You,Adele
2011-10-14,1,La Seine,Vanessa Paradis and -M-
2011-10-28,1,Without You,David Guetta featuring Usher
2011-11-04,1,Good Feeling,Flo Rida
2011-11-11,1,Du temps,Mylène Farmer
2011-11-11,1,Danza Kuduro,Don Omar and Lucenzo
2011-12-02,1,She Doesn't Mind,Sean Paul
2011-12-09,1,Paradise,Coldplay
2011-12-09,1,Je l'aime à mourir,Shakira
2011-12-16,1,Des ricochets,Collectif Paris Africa
2011-12-30,1,Sexy and I Know It,LMFAO
2012-01-08,1,Video Games,Lana Del Rey
2012-01-08,1,Pumped Up Kicks,Foster the People
2012-01-15,1,Ai Se Eu Te Pego,Michel Teló
2012-01-15,1,"Young, Wild & Free",Snoop Dogg and Wiz Khalifa featuring Bruno Mars
2012-01-15,1,Hangover,Taio Cruz featuring Flo Rida
2012-01-22,1,Avant qu'elle parte,Sexion d'Assaut
2012-01-29,1,International Love,Pitbull featuring Chris Brown
2012-02-05,1,Give Me All Your Luvin',Madonna featuring Nicki Minaj and M.I.A.
2012-02-05,1,I Know,Irma
2012-02-19,1,Nightcall,Kavinsky
2012-02-19,1,I Will Always Love You,Whitney Houston
2012-02-26,1,Turn Me On,David Guetta featuring Nicki Minaj
2012-02-26,1,Somebody That I Used to Know,Gotye featuring Kimbra
2012-03-04,1,I Follow Rivers,Lykke Li
2012-03-11,1,Le sens de la vie,Tal
2012-03-18,1,Encore un autre hiver,Les Enfoirés
2012-03-25,1,Starships,Nicki Minaj
2012-03-25,1,Ma direction,Sexion d'Assaut
2012-04-01,1,My Name Is Stain,Shaka Ponk
2012-04-15,1,La terre est ronde,Orelsan
2012-04-15,1,Where Have You Been,Rihanna
2012-04-29,1,Ma Chérie 2k12,DJ Antoine
2012-04-29,1,Call Me Maybe,Carly Rae Jepsen
2012-05-06,1,Balada,Gusttavo Lima
2012-05-13,1,Positif,Matt Houston featuring P-Square
2012-05-13,1,Skinny Love,Birdy
2012-05-13,1,Tacata',Tacabro
2012-05-13,1,Whistle,Flo Rida
2012-06-03,1,Back in Time,Pitbull
2012-06-17,1,Wati House,Sexion d'Assaut
2012-06-24,1,Rayos de sol,Jose de Rico featuring Henry Mendez
2012-07-01,1,Et alors !,Shy'm
