date,rank,song,artist
1962-10-05,1,She's Not You,Elvis Presley
1962-10-12,1,She's Not You,Elvis Presley
1962-10-19,1,She's Not You,Elvis Presley
1962-10-26,1,She's Not You,Elvis Presley
1962-11-02,1,Telstar,The Tornados
1962-11-09,1,Telstar,The Tornados
1962-11-16,1,Lovesick Blues,Frank Ifield
1962-11-23,1,Lovesick Blues,Frank Ifield
1962-11-30,1,Lovesick Blues,Frank Ifield
1962-12-07,1,Lovesick Blues,Frank Ifield
1962-12-14,1,Return To Sender,Elvis Presley
1962-12-21,1,Return To Sender,Elvis Presley
1962-12-28,1,The Next Time / Bachelor Boy,Cliff Richard
1963-01-04,1,Return To Sender,Elvis Presley
1963-01-11,1,"The Next Time"" / ""Bachelor Boy",Cliff Richard
1963-01-18,1,"The Next Time"" / ""Bachelor Boy",Cliff Richard
1963-01-25,1,"The Next Time"" / ""Bachelor Boy",Cliff Richard
1963-02-01,1,"The Next Time"" / ""Bachelor Boy",Cliff Richard
1963-02-08,1,Dance On!,The Shadows
1963-02-15,1,Dance On!,The Shadows
1963-02-22,1,Diamonds,Jet Harris and Tony Meehan
1963-03-01,1,Little Town Flirt,Del Shannon
1963-03-08,1,From a Jack to a King,Ned Miller
1963-03-15,1,From a Jack to a King,Ned Miller
1963-03-22,1,From a Jack to a King,Ned Miller
1963-03-29,1,From a Jack to a King,Ned Miller
1963-04-05,1,From a Jack to a King,Ned Miller
1963-04-12,1,From a Jack to a King,Ned Miller
1963-04-19,1,From a Jack to a King,Ned Miller
1963-04-26,1,From a Jack to a King,Ned Miller
1963-05-03,1,From a Jack to a King,Ned Miller
1963-05-10,1,Rhythm of the Rain,The Cascades
1963-05-17,1,From Me to You,The Beatles
1963-05-24,1,In Dreams,Roy Orbison
1963-05-31,1,In Dreams,Roy Orbison
1963-06-07,1,Lucky Lips,Cliff Richard
1963-06-14,1,Welcome to My World,Jim Reeves
1963-06-21,1,Welcome to My World,Jim Reeves
1963-06-28,1,Welcome to My World,Jim Reeves
1963-07-05,1,I Like It,Gerry & the Pacemakers
1963-07-12,1,I Like It,Gerry & the Pacemakers
1963-07-19,1,I Like It,Gerry & the Pacemakers
1963-07-26,1,I Like It,Gerry & the Pacemakers
1963-08-02,1,I'm Confessin',Frank Ifield
1963-08-09,1,Devil in Disguise,Elvis Presley
1963-08-16,1,Devil in Disguise,Elvis Presley
1963-08-23,1,Devil in Disguise,Elvis Presley
1963-08-30,1,Sweets for My Sweet,The Searchers
1963-09-06,1,Kiss Me Quick,Brendan Bowyer
1963-09-13,1,Kiss Me Quick,Brendan Bowyer
