date,rank,song,artist
1995-01-02,1,Strange Love,Kina
1995-01-09,1,Song for You,Radio Dee Jay for Christmas
1995-01-16,1,All I Need Is Love,Indiana
1995-01-23,1,All I Need Is Love,Indiana
1995-01-30,1,All I Need Is Love,Indiana
1995-02-06,1,All I Need Is Love,Indiana
1995-02-13,1,Round and Around,Ti.Pi.Cal.
1995-02-20,1,Lick It,20 Fingers
1995-02-27,1,Lick It,20 Fingers
1995-03-06,1,No More I Love You's,Annie Lennox
1995-03-13,1,Believe,Elton John
1995-03-20,1,Believe,Elton John
1995-03-27,1,Your Loving Arms,Billy Ray Martin
1995-04-03,1,Baby Baby,Corona
1995-04-10,1,Baby Baby,Corona
1995-04-17,1,Baby Baby,Corona
1995-04-24,1,Baby Baby,Corona
1995-05-01,1,Baby Baby,Corona
1995-05-08,1,Missing,Everything but the Girl
1995-05-15,1,Missing,Everything but the Girl
1995-05-22,1,Missing,Everything but the Girl
1995-05-29,1,Missing,Everything but the Girl
1995-06-05,1,Missing,Everything but the Girl
1995-06-12,1,Scream,Michael Jackson & Janet Jackson
1995-06-19,1,Scream,Michael Jackson & Janet Jackson
1995-06-26,1,The Colour Inside,Ti.Pi.Cal.
1995-07-03,1,The Colour Inside,Ti.Pi.Cal.
1995-07-10,1,The Colour Inside,Ti.Pi.Cal.
1995-07-17,1,The Colour Inside,Ti.Pi.Cal.
1995-07-24,1,The Colour Inside,Ti.Pi.Cal.
1995-07-31,1,The Colour Inside,Ti.Pi.Cal.
1995-08-07,1,The Colour Inside,Ti.Pi.Cal.
1995-08-14,1,The Colour Inside,Ti.Pi.Cal.
1995-08-21,1,The Colour Inside,Ti.Pi.Cal.
1995-08-28,1,The Colour Inside,Ti.Pi.Cal.
1995-08-30,1,Wrap Me Up,Alex Party
1995-09-05,1,Hideaway,De'Lacy
1995-09-12,1,Hideaway,De'Lacy
1995-09-19,1,Hideaway,De'Lacy
1995-09-26,1,Hideaway,De'Lacy
1995-10-03,1,Me and You,Alexia & Double You
1995-10-10,1,Fairground,Simply Red
1995-10-17,1,Boombastic,Shaggy
1995-10-24,1,Boombastic,Shaggy
1995-10-31,1,Boombastic,Shaggy
1995-11-07,1,Boombastic,Shaggy
1995-11-14,1,Boombastic,Shaggy
1995-11-22,1,Boombastic,Shaggy
1995-11-30,1,Gangsta's Paradise,Coolio feat. L.V.
1995-12-07,1,Boombastic,Shaggy
1995-12-14,1,I Don't Wanna Be a Star,Corona
1995-12-21,1,Gangsta's Paradise,Coolio feat. L.V.
1995-12-28,1,Gangsta's Paradise,Coolio feat. L.V.
2008-01-04,1,Baby Let's Play House,Elvis Presley
2008-01-11,1,Baby Let's Play House,Elvis Presley
2008-01-18,1,Baby Let's Play House,Elvis Presley
2008-01-25,1,Baby Let's Play House,Elvis Presley
2008-02-01,1,Baby Let's Play House,Elvis Presley
2008-02-08,1,Apologize,Timbaland presents OneRepublic
2008-02-15,1,Baby Let's Play House,Elvis Presley
2008-02-22,1,Apologize,Timbaland presents OneRepublic
2008-02-29,1,Estupido,Cinema 2
2008-03-07,1,Colpo di fulmine,Giò Di Tonno and Lola Ponce
2008-03-14,1,Il mondo che vorrei,Vasco Rossi
2008-03-21,1,Il mondo che vorrei,Vasco Rossi
2008-03-28,1,Il mondo che vorrei,Vasco Rossi
2008-04-04,1,4 Minutes,Madonna featuring Justin Timberlake and Timbaland
2008-04-11,1,A te,Jovanotti
2008-04-18,1,A te,Jovanotti
2008-04-25,1,A te,Jovanotti
2008-05-02,1,A te,Jovanotti
2008-05-09,1,A te,Jovanotti
2008-05-16,1,A te,Jovanotti
2008-05-23,1,A te,Jovanotti
2008-05-30,1,Non ti scordar mai di me,Giusy Ferreri
2008-06-06,1,Non ti scordar mai di me,Giusy Ferreri
2008-06-13,1,Cry...,Novecento
2008-06-20,1,Cry...,Novecento
2008-06-27,1,Everything,Michael Bublé
2008-07-04,1,Non ti scordar mai di me,Giusy Ferreri
2008-07-11,1,Non ti scordar mai di me,Giusy Ferreri
2008-07-18,1,Non ti scordar mai di me,Giusy Ferreri
2008-07-25,1,Non ti scordar mai di me,Giusy Ferreri
2008-08-01,1,Non ti scordar mai di me,Giusy Ferreri
2008-08-08,1,Non ti scordar mai di me,Giusy Ferreri
2008-08-15,1,Non ti scordar mai di me,Giusy Ferreri
2008-08-22,1,Non ti scordar mai di me,Giusy Ferreri
2008-08-29,1,Non ti scordar mai di me,Giusy Ferreri
