date,rank,song,artist
1992-01-13,1,Sore ga Daiji,Daiji-man Brothers Band
1992-01-20,1,Sore ga Daiji,Daiji-man Brothers Band
1992-01-27,1,Sore ga Daiji,Daiji-man Brothers Band
1992-02-03,1,Garagara hebi ga yattekuru,Tunnels
1992-02-10,1,Kanashimi hayuki no yoni,Shōgo Hamada
1992-02-17,1,Kanashimi hayuki no yoni,Shōgo Hamada
1992-02-24,1,Garagara hebi ga yattekuru,Tunnels
1992-03-02,1,Kanashimi hayuki no yoni,Shōgo Hamada
1992-03-09,1,Kanashimi hayuki no yoni,Shōgo Hamada
1992-03-16,1,Kanashimi hayuki no yoni,Shōgo Hamada
1992-03-23,1,Kanashimi hayuki no yoni,Shōgo Hamada
1992-03-30,1,Kanashimi hayuki no yoni,Shōgo Hamada
1992-04-06,1,Kanashimi hayuki no yoni,Shōgo Hamada
1992-04-13,1,Kanashimi hayuki no yoni,Shōgo Hamada
1992-04-20,1,Kanashimi hayuki no yoni,Shōgo Hamada
1992-04-27,1,Love Song,Chage and Aska
1992-05-04,1,Koi wo shiyou yo Yeah! Yeah!,Lindberg
1992-05-11,1,Itsumademo kawaranu ai wo,Tetsurō Oda
1992-05-18,1,Kimi ga Iru Dake de,Kome Kome Club
1992-05-25,1,Kimi ga Iru Dake de,Kome Kome Club
1992-06-01,1,Kimi ga Iru Dake de,Kome Kome Club
1992-06-08,1,Blowin',B'z
1992-06-15,1,Blowin',B'z
1992-06-22,1,Kimi ga Iru Dake de,Kome Kome Club
1992-06-29,1,Kimi ga Iru Dake de,Kome Kome Club
1992-07-06,1,Kimi ga Iru Dake de,Kome Kome Club
1992-07-13,1,If,Chage and Aska
1992-07-20,1,If,Chage and Aska
1992-07-27,1,Kiss of Tears,Southern All Stars
1992-08-03,1,Kiss of Tears,Southern All Stars
1992-08-10,1,Kiss of Tears,Southern All Stars
1992-08-17,1,Kiss of Tears,Southern All Stars
1992-08-24,1,Kiss of Tears,Southern All Stars
1992-08-31,1,Kiss of Tears,Southern All Stars
1992-09-07,1,Kiss of Tears,Southern All Stars
1992-09-14,1,Ichiban erai hito he,Tunnels
1992-09-21,1,Ichiban erai hito he,Tunnels
1992-09-28,1,Kessen wa Kinyōbi,Dreams Come True
1992-10-05,1,Kessen wa Kinyōbi,Dreams Come True
1992-10-12,1,Kessen wa Kinyōbi,Dreams Come True
1992-10-19,1,Zero,B'z
1992-10-26,1,Zero,B'z
1992-11-02,1,Hare tara īne,Dreams Come True
1992-11-09,1,Junrenka,Tsuyoshi Nagabuchi
1992-11-16,1,Kurisumas ukyaroru no koroni ha,Junichi Inagaki
1992-11-23,1,Ai no Wave,Yumi Matsutoya
1992-11-30,1,Kurisumas ukyaroru no koroni ha,Junichi Inagaki
1992-12-07,1,Kurisumas ukyaroru no koroni ha,Junichi Inagaki
1992-12-14,1,Kurisumas ukyaroru no koroni ha,Junichi Inagaki
1992-12-21,1,Kiss Me,Kyosuke Himuro
1992-12-28,1,Sekaijū no Dare Yori Kitto,Miho Nakayama and Wands
