date,rank,song,artist
1960-05-28,1,Milord,Corry Brokken
1960-06-04,1,Milord,Corry Brokken
1960-06-11,1,Milord,Corry Brokken
1960-06-18,1,Milord,Corry Brokken
1960-06-25,1,Milord,Corry Brokken
1960-07-02,1,Milord,Corry Brokken
1960-07-09,1,Milord,Corry Brokken
1960-07-16,1,Milord,Corry Brokken
1960-07-23,1,Milord,Corry Brokken
1960-07-30,1,Milord,Corry Brokken
1960-08-06,1,Kom Van dat dak af,Peter En Zijn Rockets
1960-08-13,1,Milord,Corry Brokken
1960-08-20,1,Milord,Corry Brokken
1960-08-27,1,Milord,Corry Brokken
1960-09-03,1,Milord,Corry Brokken
1960-09-10,1,Milord,Corry Brokken
1960-09-17,1,Milord,Corry Brokken
1960-09-24,1,It's Now Or Never,Elvis Presley
1960-10-01,1,Ramona,The Blue Diamonds
1960-10-08,1,Ramona,The Blue Diamonds
1960-10-15,1,It's Now or Never,Elvis Presley
1960-10-22,1,It's Now or Never,Elvis Presley
1960-10-29,1,It's Now or Never,Elvis Presley
1960-11-05,1,It's Now or Never,Elvis Presley
1960-11-12,1,It's Now or Never,Elvis Presley
1960-11-19,1,It's Now or Never,Elvis Presley
1960-11-26,1,Ramona,Blue Diamonds
1960-12-03,1,Ramona,Blue Diamonds
1960-12-10,1,Ramona,Blue Diamonds
1960-12-17,1,Ramona,Blue Diamonds
1960-12-24,1,It's Now or Never,Elvis Presley
1960-12-31,1,It's Now or Never,Elvis Presley
1961-01-07,1,It's Now Or Never,Elvis Presley
1961-01-14,1,Ramona,Blue Diamonds
1961-01-21,1,Ramona,Blue Diamonds
1961-01-28,1,Save the Last Dance for Me,The Drifters
1961-02-04,1,Save the Last Dance for Me,The Drifters
1961-02-11,1,Save the Last Dance for Me,The Drifters
1961-02-18,1,Save the Last Dance for Me,The Drifters
1961-02-25,1,Wooden Heart,Elvis Presley
1961-03-04,1,Wooden Heart,Elvis Presley
1961-03-11,1,Wooden Heart,Elvis Presley
1961-03-18,1,Wooden Heart,Elvis Presley
1961-03-25,1,Wooden Heart,Elvis Presley
1961-04-01,1,Wooden Heart,Elvis Presley
1961-04-08,1,Wooden Heart,Elvis Presley
1961-04-15,1,Non je ne regrette rien,Edith Piaf
1961-04-22,1,Non je ne regrette rien,Edith Piaf
1961-04-29,1,Non je ne regrette rien,Edith Piaf
1961-05-06,1,Non je ne regrette rien,Edith Piaf
1961-05-13,1,Wheels,The String-A-Longs
1961-05-20,1,Wheels,The String-A-Longs
1961-05-27,1,Wheels,The String-A-Longs
1961-06-03,1,Wheels,The String-A-Longs
1961-06-10,1,Wheels,The String-A-Longs
1961-06-17,1,Non je ne regrette rien,Edith Piaf
1961-06-24,1,Wheels,The String-A-Longs
1961-07-01,1,Wheels,The String-A-Longs
1961-07-08,1,Wheels,The String-A-Longs
1961-07-15,1,Wheels,The String-A-Longs
1961-07-22,1,Wheels,The String-A-Longs
1961-07-29,1,Wheels,The String-A-Longs
1961-08-05,1,Hello Mary Lou,Ricky Nelson
1961-08-12,1,Hello Mary Lou,Ricky Nelson
1961-08-19,1,Hello Mary Lou,Ricky Nelson
1961-08-26,1,Hello Mary Lou,Ricky Nelson
1961-09-02,1,Hello Mary Lou,Ricky Nelson
1961-09-09,1,Hello Mary Lou,Ricky Nelson
1961-09-16,1,Hello Mary Lou,Ricky Nelson
1961-09-23,1,Och was ik maar bij moeder thuis gebleven,Johnny Hoes
1961-09-30,1,Och was ik maar bij moeder thuis gebleven,Johnny Hoes
1961-10-07,1,Och was ik maar bij moeder thuis gebleven,Johnny Hoes
1961-10-14,1,Och was ik maar bij moeder thuis gebleven,Johnny Hoes
1961-10-21,1,Och was ik maar bij moeder thuis gebleven,Johnny Hoes
1961-10-28,1,Och was ik maar bij moeder thuis gebleven,Johnny Hoes
1961-11-04,1,Och was ik maar bij moeder thuis gebleven,Johnny Hoes
1961-11-11,1,Och was ik maar bij moeder thuis gebleven,Johnny Hoes
1961-11-18,1,Och was ik maar bij moeder thuis gebleven,Johnny Hoes
1961-11-25,1,Och was ik maar bij moeder thuis gebleven,Johnny Hoes
1961-12-02,1,Och was ik maar bij moeder thuis gebleven,Johnny Hoes
1961-12-09,1,Och was ik maar bij moeder thuis gebleven,Johnny Hoes
1961-12-16,1,I'm Gonna Knock on Your Door,Eddie Hodges
