date,rank,song,artist
1960-07-21,1,Cathy's Clown,Bill & Boyd ‡
1960-07-28,1,Cathy's Clown,Bill & Boyd ‡
1960-08-04,1,Everybody's Somebody's Fool,Connie Francis
1960-08-11,1,Everybody's Somebody's Fool,Connie Francis
1960-08-18,1,Alley Oop,The Hollywood Argyles
1960-08-25,1,Alley Oop,The Hollywood Argyles
1960-09-01,1,I'm Sorry,Brenda Lee
1960-09-08,1,Alley Oop,Dante & Evergreens
1960-09-15,1,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland
1960-09-22,1,Please Don't Tease,Cliff Richard
1960-09-29,1,Please Don't Tease,Cliff Richard
1960-10-27,1,Apache,The Shadows
1960-11-03,1,Apache,The Shadows
1960-11-10,1,It's Now Or Never,Elvis Presley
1960-11-17,1,Lively,Lonnie Donegan
1960-11-24,1,It's Now or Never,Elvis Presley
1961-01-05,1,Save the Last Dance for Me,The Drifters
1961-01-12,1,Save the Last Dance for Me,The Drifters
1961-01-19,1,Save the Last Dance for Me,The Drifters
1961-01-26,1,Poetry In Motion,Johnny Tillotson
1961-02-02,1,As Long As He Needs Me,Shirley Bassey
1961-02-09,1,Are You Lonesome Tonight?,Elvis Presley
1961-02-16,1,Last Date,Floyd Cramer
1961-02-23,1,Last Date,Floyd Cramer
1961-03-02,1,Wonderland by Night,Bert Kaempfert
1961-03-09,1,Wonderland by Night,Bert Kaempfert
1961-03-16,1,I Love You,Cliff Richard
1961-03-23,1,Sailor,Petula Clark
1961-03-30,1,Surrender,Elvis Presley
1961-04-06,1,Surrender,Elvis Presley
1961-04-13,1,Walk Right Back,The Everly Brothers
1961-04-20,1,Walk Right Back,The Everly Brothers
1961-04-27,1,Are You Sure?,The Allisons
1961-05-04,1,Are You Sure?,The Allisons
1961-05-11,1,Exodus,Ferrante & Teicher
1961-05-18,1,Blue Moon,The Marcels
1961-05-25,1,Exodus,Ferrante & Teicher
1961-06-01,1,Blue Moon,The Marcels
1961-06-08,1,Calcutta,Lawrence Welk
1961-06-15,1,Runaway,Del Shannon
1961-06-22,1,Runaway,Del Shannon
1961-06-29,1,Running Scared,Roy Orbison
1961-07-06,1,Running Scared,Roy Orbison
1961-07-13,1,Travelin' Man,Ricky Nelson
1961-07-20,1,Moody River,Pat Boone
1961-07-27,1,Travelin' Man,Ricky Nelson
