date,rank,song,artist
2010-04-01,1,Sexy Bitch,David Guetta featuring Akon
2010-04-16,1,Memories,David Guetta featuring Kid Cudi
2010-05-01,1,Memories,David Guetta featuring Kid Cudi
2010-06-01,1,Memories,David Guetta featuring Kid Cudi
2010-07-01,1,Alors on danse,Stromae
2010-08-01,1,We No Speak Americano,Yolanda Be Cool featuring DCUP
2010-08-16,1,We No Speak Americano,Yolanda Be Cool featuring DCUP
2010-09-01,1,We No Speak Americano,Yolanda Be Cool featuring DCUP
2010-09-16,1,We No Speak Americano,Yolanda Be Cool featuring DCUP
2010-10-01,1,We No Speak Americano,Yolanda Be Cool featuring DCUP
2010-10-16,1,We No Speak Americano,Yolanda Be Cool featuring DCUP
2010-11-01,1,We No Speak Americano,Yolanda Be Cool featuring DCUP
2010-11-16,1,We No Speak Americano,Yolanda Be Cool featuring DCUP
2010-12-01,1,Loca,Shakira featuring Dizzee Rascal
2010-12-16,1,Only Girl,Rihanna
2011-01-01,1,Barbra Streisand,Duck Sauce
2011-01-08,1,Śniadanie do łóżka,Andrzej Piaseczny
2011-01-15,1,Śniadanie do łóżka,Andrzej Piaseczny
2011-01-22,1,Just a Dream,Nelly
2011-01-29,1,Just a Dream,Nelly
2011-02-05,1,Ewakuacja,Ewa Farna
2011-02-12,1,Just a Dream,Nelly
2011-02-19,1,Ewakuacja,Ewa Farna
2011-02-26,1,Ewakuacja,Ewa Farna
2011-03-05,1,Grenade,Bruno Mars
2011-03-12,1,Grenade,Bruno Mars
2011-03-19,1,Grenade,Bruno Mars
2011-03-26,1,Grenade,Bruno Mars
2011-04-02,1,Born This Way,Lady Gaga
2011-04-09,1,Born This Way,Lady Gaga
2011-04-16,1,Born This Way,Lady Gaga
2011-04-23,1,S&M,Rihanna
2011-04-30,1,S&M,Rihanna
2011-05-07,1,Just Can't Get Enough,The Black Eyed Peas
2011-05-14,1,E.T.,Katy Perry
2011-05-21,1,Buena,Blue Café
2011-05-28,1,Buena,Blue Café
2011-06-04,1,Buena,Blue Café
2011-06-11,1,Buena,Blue Café
2011-06-18,1,Małe rzeczy,Sylwia Grzeszczak
2011-06-25,1,Małe rzeczy,Sylwia Grzeszczak
2011-07-02,1,Małe rzeczy,Sylwia Grzeszczak
2011-07-09,1,Małe rzeczy,Sylwia Grzeszczak
2011-07-16,1,Małe rzeczy,Sylwia Grzeszczak
2011-07-23,1,Małe rzeczy,Sylwia Grzeszczak
2011-07-30,1,Małe rzeczy,Sylwia Grzeszczak
2011-08-06,1,Małe rzeczy,Sylwia Grzeszczak
2011-08-13,1,California King Bed,Rihanna
2011-08-20,1,Boso,Zakopower
2011-08-27,1,Set Fire to the Rain,Adele
2011-09-03,1,Set Fire to the Rain,Adele
2011-09-10,1,Set Fire to the Rain,Adele
2011-09-17,1,Set Fire to the Rain,Adele
2011-09-24,1,Moves like Jagger,Maroon 5 featuring Christina Aguilera
2011-10-01,1,Moves like Jagger,Maroon 5 featuring Christina Aguilera
2011-10-08,1,Sen o przyszłości,Sylwia Grzeszczak
2011-10-15,1,Sen o przyszłości,Sylwia Grzeszczak
2011-10-22,1,Moves like Jagger,Maroon 5 featuring Christina Aguilera
2011-10-29,1,Moves like Jagger,Maroon 5 featuring Christina Aguilera
2011-11-05,1,Moves like Jagger,Maroon 5 featuring Christina Aguilera
2011-11-12,1,Moves like Jagger,Maroon 5 featuring Christina Aguilera
2011-11-19,1,Heart Skips a Beat,Olly Murs featuring Rizzle Kicks
2011-11-26,1,Heart Skips a Beat,Olly Murs featuring Rizzle Kicks
2011-12-03,1,Pumped Up Kicks,Foster the People
2011-12-10,1,Someone like You,Adele
2011-12-24,1,Someone like You,Adele
2011-12-31,1,Pumped Up Kicks,Foster the People
