date,rank,song,artist
2000-01-02,1,With Every Bit of Me,Kevin Borg
2000-01-02,1,The Ketchup Song,Las Ketchup
2000-01-02,1,Hey Ya!,Outkast
2000-01-03,1,All for Love,E.M.D.
2000-01-04,1,Everything Changes,Markus Fagervall
2000-01-04,1,Life,E-Type
2000-01-05,1,Can't Fight the Moonlight,LeAnn Rimes
2000-01-05,1,"Right Here, Right Now",Agnes
2000-01-06,1,Coming True,Daniel Lindström
2000-01-06,1,Millennium 2,Markoolio
2000-01-09,1,With Every Bit of Me,Kevin Borg
2000-01-09,1,Tu es foutu,In-Grid
2000-01-09,1,Starkare,Sara Löfgren
2000-01-10,1,All for Love,E.M.D.
2000-01-11,1,Life,E-Type
2000-01-11,1,Everything Changes,Markus Fagervall
2000-01-12,1,"Right Here, Right Now",Agnes
2000-01-12,1,Can't Fight the Moonlight,LeAnn Rimes
2000-01-13,1,Freestyler,Bomfunk MC's
2000-01-13,1,Coming True,Daniel Lindström
2000-01-16,1,Shut Up,The Black Eyed Peas
2000-01-16,1,Poker Face,Lady Gaga
2000-01-16,1,Tu es foutu,In-Grid
2000-01-17,1,All for Love,E.M.D.
2000-01-18,1,Life,E-Type
2000-01-18,1,Everything Changes,Markus Fagervall
2000-01-19,1,Can't Fight the Moonlight,LeAnn Rimes
2000-01-19,1,Hung Up,Madonna
2000-01-20,1,Coming True,Daniel Lindström
2000-01-20,1,Freestyler,Bomfunk MC's
2000-01-23,1,With Every Bit of Me,Kevin Borg
2000-01-23,1,Shut Up,The Black Eyed Peas
2000-01-23,1,Lose Yourself,Eminem
2000-01-24,1,All for Love,E.M.D.
2000-01-25,1,Don't You Know,United DJ's vs. Pandora
2000-01-25,1,"Whenever, Wherever",Shakira
2000-01-26,1,Ms. Jackson,Outkast
2000-01-26,1,"Right Here, Right Now",Agnes
2000-01-27,1,Freestyler,Bomfunk MC's
2000-01-27,1,En midsommarnattsdröm,Håkan Hellström
2000-01-30,1,Poker Face,Lady Gaga
2000-01-30,1,Lose Yourself,Eminem
2000-01-30,1,Shut Up,The Black Eyed Peas
2000-01-31,1,All for Love,E.M.D.
2000-02-01,1,Luften bor i mina steg,Håkan Hellström
2000-02-01,1,I Can't Say I'm Sorry,Erik Segerstedt
2000-02-02,1,Goodbye My Lover,James Blunt
2000-02-02,1,Ms. Jackson,Outkast
2000-02-03,1,Money for Nothing,Darin
2000-02-03,1,Freestyler,Bomfunk MC's
2000-02-06,1,Behind Blue Eyes,Limp Bizkit
2000-02-06,1,Carina,Larz-Kristerz
2000-02-06,1,Lose Yourself,Eminem
2000-02-07,1,Do You Love Me?,Amanda Jenssen
2000-02-08,1,Värsta schlagern,Markoolio & Linda Bengtzing
2000-02-08,1,Luften bor i mina steg,Håkan Hellström
2000-02-09,1,Romeo,Shebang
2000-02-09,1,Do What You're Told,Sebastian
2000-02-10,1,Money for Nothing,Darin
2000-02-10,1,Freestyler,Bomfunk MC's
2000-02-13,1,3 Floors Down,Kim Fransson
2000-02-13,1,Kom hem hel igen,Sandra Dahlberg
2000-02-13,1,Lose Yourself,Eminem
2000-02-14,1,Do You Love Me?,Amanda Jenssen
2000-02-15,1,Värsta schlagern,Markoolio & Linda Bengtzing
2000-02-15,1,"Whenever, Wherever",Shakira
2000-02-16,1,Romeo,Shebang
2000-02-16,1,Do What You're Told,Sebastian
2000-02-17,1,Max 500,Kent
2000-02-17,1,Freestyler,Bomfunk MC's
2000-02-20,1,Ding Dong Song,Günther & The Sunshine Girls
2000-02-20,1,Poker Face,Lady Gaga
2000-02-20,1,Lose Yourself,Eminem
2000-02-21,1,Do You Love Me?,Amanda Jenssen
2000-02-22,1,Tokyo,Danny Saucedo
2000-02-22,1,"Whenever, Wherever",Shakira
2000-02-23,1,Romeo,Shebang
2000-02-23,1,Do What You're Told,Sebastian
2000-02-24,1,Freestyler,Bomfunk MC's
2000-02-24,1,Money for Nothing,Darin
2000-02-27,1,Lose Yourself,Eminem
2000-02-27,1,Poker Face,Lady Gaga
2000-02-27,1,Ding Dong Song,Günther & The Sunshine Girls
2000-02-28,1,Do You Love Me?,Amanda Jenssen
2000-03-01,1,Tokyo,Danny Saucedo
2000-03-01,1,"Whenever, Wherever",Shakira
2000-03-02,1,Freestyler,Bomfunk MC's
2000-03-02,1,Romeo,Shebang
2000-03-02,1,Do What You're Told,Sebastian
2000-03-03,1,Money for Nothing,Darin
2000-03-05,1,Ding Dong Song,Günther & The Sunshine Girls
2000-03-06,1,Med hjärtat fyllt av ljus,Shirley Clamp
2000-03-06,1,Do You Love Me?,Amanda Jenssen
2000-03-06,1,Lose Yourself,Eminem
2000-03-08,1,"Whenever, Wherever",Shakira
2000-03-08,1,Girlfriend,Avril Lavigne
2000-03-09,1,Freestyler,Bomfunk MC's
2000-03-09,1,Last Goodbye,Da Buzz
2000-03-09,1,Romeo,Shebang
2000-03-10,1,Alcastar,Alcazar
2000-03-12,1,F**k It,Eamon
2000-03-13,1,Hero,Charlotte Perrelli
