date,rank,song,artist
2006-03-13,1,Belki Üstümüzden Bir Kuş Geçer,Yüksek Sadakat
2006-03-20,1,Belki Üstümüzden Bir Kuş Geçer,Yüksek Sadakat
2006-03-27,1,Keşke,Yalın
2006-04-03,1,Nerdesin,Gece Yolcuları
2006-04-10,1,Nerdesin,Gece Yolcuları
2006-04-17,1,Yurtta Aşk Cihanda Aşk,Gülşen
2006-04-24,1,Yurtta Aşk Cihanda Aşk,Gülşen
2006-05-01,1,Yurtta Aşk Cihanda Aşk,Gülşen
2006-05-08,1,Aşkın Ateşi,Hande Yener
2006-05-15,1,Sarı Laleler,MFÖ
2006-05-22,1,Sarı Laleler,MFÖ
2006-05-29,1,Sarı Laleler,MFÖ
2006-06-05,1,Sor,Serdar Ortaç
2006-06-12,1,Sor,Serdar Ortaç
2006-06-19,1,Sarı Laleler,MFÖ
2006-06-26,1,Afedersin,Demet Akalın
2006-07-03,1,Afedersin,Demet Akalın
2006-07-10,1,Afedersin,Demet Akalın
2006-07-17,1,Afedersin,Demet Akalın
2006-07-24,1,Afedersin,Demet Akalın
2006-07-31,1,Afedersin,Demet Akalın
2006-08-07,1,Afedersin,Demet Akalın
2006-08-14,1,Çakkıdı,Kenan Doğulu
2006-08-21,1,Çakkıdı,Kenan Doğulu
2006-08-28,1,Çakkıdı,Kenan Doğulu
2006-09-04,1,Çakkıdı,Kenan Doğulu
2006-09-11,1,Çakkıdı,Kenan Doğulu
2006-09-18,1,Çakkıdı,Kenan Doğulu
2006-09-25,1,Herkes Hak Ettiği Gibi Yaşıyor,Demet Akalın
2006-10-02,1,Gitme,Serdar Ortaç
2006-10-09,1,Gitme,Serdar Ortaç
2006-10-16,1,Afili Yalnızlık,Emre Aydın
2006-10-23,1,Afili Yalnızlık,Emre Aydın
2006-10-30,1,Afili Yalnızlık,Emre Aydın
2006-11-06,1,Afili Yalnızlık,Emre Aydın
2006-11-13,1,Afili Yalnızlık,Emre Aydın
2006-11-20,1,Afili Yalnızlık,Emre Aydın
2006-11-27,1,Aşkım Baksana Bana,Nazan Öncel
2006-12-04,1,Aşkım Baksana Bana,Nazan Öncel
2006-12-11,1,Afili Yalnızlık,Emre Aydın
2006-12-18,1,Aşkım Baksana Bana,Nazan Öncel
2006-12-25,1,Hayırdır İnşallah,Yaşar
2007-01-01,1,Hayırdır İnşallah,Yaşar
2007-01-08,1,Hayırdır İnşallah,Yaşar
2007-01-15,1,Hayırdır İnşallah,Yaşar
2007-01-22,1,Hayırdır İnşallah,Yaşar
2007-01-29,1,Hayırdır İnşallah,Yaşar
2007-02-05,1,Hayırdır İnşallah,Yaşar
2007-02-12,1,Hayırdır İnşallah,Yaşar
2007-02-19,1,Hayırdır İnşallah,Yaşar
2007-02-26,1,Aşk Bitti,Keremcem
2007-03-05,1,Aşk Bitti,Keremcem
2007-03-12,1,Aşk Bitti,Keremcem
2007-03-19,1,Aşk Bitti,Keremcem
2007-03-26,1,Cennet,Ferhat Göçer
2007-04-02,1,Cennet,Ferhat Göçer
2007-04-09,1,Cennet,Ferhat Göçer
2007-04-16,1,Böyle Kahpedir Dünya,Gripin
2007-04-23,1,Böyle Kahpedir Dünya,Gripin
2007-04-30,1,Bu Mudur?,Nil Karaibrahimgil
2007-05-07,1,Bu Mudur?,Nil Karaibrahimgil
2007-05-14,1,Bu Mudur?,Nil Karaibrahimgil
2007-05-21,1,Bu Mudur?,Nil Karaibrahimgil
2007-05-28,1,Bu Mudur?,Nil Karaibrahimgil
2007-06-04,1,Bu Mudur?,Nil Karaibrahimgil
2007-06-11,1,Komple,Burak Kut
2007-06-18,1,Komple,Burak Kut
2007-06-25,1,Komple,Burak Kut
2007-07-02,1,Kibir,Hande Yener
2007-07-09,1,İndir,Mustafa Sandal
2007-07-16,1,İndir,Mustafa Sandal
2007-07-23,1,İndir,Mustafa Sandal
2007-07-30,1,İndir,Mustafa Sandal
2007-08-06,1,İndir,Mustafa Sandal
2007-08-13,1,İndir,Mustafa Sandal
2007-08-20,1,İndir,Mustafa Sandal
2007-08-27,1,İndir,Mustafa Sandal
2007-09-03,1,İndir,Mustafa Sandal
2007-09-10,1,Romeo,Hande Yener
2007-09-17,1,Romeo,Hande Yener
2007-09-24,1,Romeo,Hande Yener
2007-10-01,1,Tövbeliyim,Gökhan Özen
2007-10-08,1,Tövbeliyim,Gökhan Özen
2007-10-15,1,Sükut-u Hayal,Nev
2007-10-22,1,Sükut-u Hayal,Nev
