date,rank,song,artist
1952-11-14,1,"You Belong to Me"" ♦",Jo Stafford
1952-11-14,1,Here in My Heart,Al Martino
1952-11-14,1,"Sugar Bush"" ‡",Doris Day & Frankie Laine
1952-11-14,1,"Forget Me Not"" ‡",Vera Lynn
1952-11-14,1,"Half as Much"" ‡",Rosemary Clooney
1952-11-14,1,"Feet Up "" ‡",Guy Mitchell
1952-11-14,1,"Isle of Innisfree"" ‡",Bing Crosby
1952-11-14,1,"Somewhere Along the Way"" ‡",Nat King Cole
1952-11-14,1,You Belong to Me,Jo Stafford
1952-11-14,1,"Here in My Heart"" ‡",Al Martino
1952-11-14,1,Auf Wiederseh'n Sweetheart,Vera Lynn
1952-11-14,1,The Homing Waltz,Vera Lynn
1952-11-14,1,Blue Tango,Ray Martin
1952-11-14,1,Somewhere Along the Way,Nat King Cole
1952-11-14,1,Sugar Bush,Doris Day & Frankie Laine
1952-11-14,1,Isle of Innisfree,Bing Crosby
1952-11-14,1,Feet Up,Guy Mitchell
1952-11-14,1,Half as Much,Rosemary Clooney
1952-11-14,1,Forget Me Not,Vera Lynn
1952-11-14,1,High Noon,Frankie Laine
1952-11-21,1,Sugar Bush,Doris Day & Frankie Laine
1952-11-21,1,"Because You're Mine"" ‡",Mario Lanza
1952-11-21,1,"Sugar Bush"" ‡",Doris Day & Frankie Laine
1952-11-21,1,Isle of Innisfree,Bing Crosby
1952-11-21,1,"Half as Much"" ‡",Rosemary Clooney
1952-11-21,1,"Isle of Innisfree"" ‡",Bing Crosby
1952-11-21,1,Half as Much,Rosemary Clooney
1952-11-21,1,"Here in My Heart"" ‡",Al Martino
1952-11-21,1,Here in My Heart,Al Martino
1952-11-21,1,High Noon,Frankie Laine
1952-11-21,1,The Homing Waltz,Vera Lynn
1952-11-21,1,My Love and Devotion,Doris Day
1952-11-21,1,Because You're Mine,Mario Lanza
1952-11-21,1,Take My Heart,Al Martino
1952-11-28,1,Isle of Innisfree,Bing Crosby
1952-11-28,1,"Because You're Mine"" ‡",Mario Lanza
1952-11-28,1,"Isle of Innisfree"" ‡",Bing Crosby
1952-11-28,1,"Half as Much"" ‡",Rosemary Clooney
1952-11-28,1,Half as Much,Rosemary Clooney
1952-11-28,1,My Love and Devotion,Doris Day
1952-11-28,1,Because You're Mine,Mario Lanza
1952-11-28,1,Sugar Bush,Doris Day & Frankie Laine
1952-11-28,1,"Sugar Bush"" ‡",Doris Day & Frankie Laine
1952-11-28,1,Here in My Heart,Al Martino
1952-11-28,1,"Here in My Heart"" ‡",Al Martino
1952-12-05,1,Because You're Mine,Mario Lanza
1952-12-05,1,Comes A-Long A-Love,Kay Starr
1952-12-05,1,"Because You're Mine"" ‡",Mario Lanza
1952-12-05,1,Zing a Little Zong,Bing Crosby & Jane Wyman
1952-12-05,1,"Here in My Heart"" ‡",Al Martino
1952-12-05,1,Here in My Heart,Al Martino
1952-12-05,1,"Comes A-Long A-Love"" ♦",Kay Starr
1952-12-12,1,"Here in My Heart"" ‡",Al Martino
1952-12-12,1,Here in My Heart,Al Martino
1952-12-19,1,"White Christmas"" ‡",Mantovani
1952-12-19,1,"Because You're Mine"" ‡",Nat King Cole
1952-12-19,1,"Faith Can Move Mountains"" ‡",Johnnie Ray & The Four Lads
1952-12-19,1,"Silent Night, Holy Night"" ‡",Bing Crosby
1952-12-19,1,Walkin' to Missouri,Tony Brent
1952-12-19,1,Because You're Mine,Nat King Cole
1952-12-19,1,Here in My Heart,Al Martino
1952-12-19,1,Takes Two to Tango,Louis Armstrong
1952-12-19,1,"Takes Two to Tango"" ♦",Louis Armstrong
1952-12-19,1,"Silent Night, Holy Night",Bing Crosby
1952-12-19,1,"Here in My Heart"" ‡",Al Martino
1952-12-19,1,Faith Can Move Mountains,Johnnie Ray & The Four Lads
1952-12-19,1,White Christmas,Mantovani
1952-12-19,1,"Walkin' to Missouri"" ♦",Tony Brent
1952-12-26,1,Faith Can Move Mountains,Johnnie Ray & The Four Lads
1952-12-26,1,Here in My Heart,Al Martino
1952-12-26,1,Because You're Mine,Nat King Cole
1952-12-26,1,"Silent Night, Holy Night"" ‡",Bing Crosby
1952-12-26,1,"Faith Can Move Mountains"" ‡",Johnnie Ray & The Four Lads
1952-12-26,1,"Because You're Mine"" ‡",Nat King Cole
1952-12-26,1,"Here in My Heart"" ‡",Al Martino
1952-12-26,1,"White Christmas"" ‡",Mantovani
1952-12-26,1,"Silent Night, Holy Night",Bing Crosby
1952-12-26,1,White Christmas,Mantovani
1953-01-02,1,Here in My Heart,Al Martino
1953-01-02,1,"Here in My Heart"" ‡",Al Martino
1953-01-02,1,Cowpuncher's Cantata,Max Bygraves
1953-01-09,1,Outside of Heaven,Eddie Fisher
1953-01-09,1,Britannia Rag,Winifred Atwell
1953-01-09,1,Here in My Heart,Al Martino
1953-01-09,1,"Here in My Heart"" ‡",Al Martino
1953-01-09,1,The Glow-Worm,The Mills Brothers
1953-01-16,1,Make It Soon,Tony Brent
1953-01-16,1,You Belong to Me,Jo Stafford
1953-01-16,1,Don't Let the Stars Get in Your Eyes,Perry Como & The Ramblers
1953-01-23,1,Comes A-Long A-Love,Kay Starr
1953-01-23,1,Make It Soon,Tony Brent
1953-01-23,1,Don't Let the Stars Get in Your Eyes,Perry Como & The Ramblers
1953-01-30,1,Don't Let the Stars Get in Your Eyes,Perry Como & The Ramblers
1953-01-30,1,Make It Soon,Tony Brent
1953-01-30,1,Now,Al Martino
1953-01-30,1,Outside of Heaven,Eddie Fisher
1953-02-06,1,Now,Al Martino
1953-02-06,1,Everything I Have Is Yours,Eddie Fisher
1953-02-06,1,Faith Can Move Mountains,Nat King Cole
1953-02-06,1,Don't Let the Stars Get in Your Eyes,Perry Como
1953-02-13,1,Don't Let the Stars Get in Your Eyes,Perry Como
1953-02-13,1,She Wears Red Feathers,Guy Mitchell
1953-02-20,1,She Wears Red Feathers,Guy Mitchell
1953-02-20,1,Don't Let the Stars Get in Your Eyes,Perry Como
1953-02-20,1,Broken Wings,Art and Dotty Todd
1953-02-27,1,Don't Let the Stars Get in Your Eyes,Perry Como
1953-02-27,1,She Wears Red Feathers,Guy Mitchell
1953-02-27,1,Broken Wings,Art and Dotty Todd
1953-02-27,1,Wonderful Copenhagen,Danny Kaye
1953-03-06,1,Don't Let the Stars Get in Your Eyes,Perry Como
1953-03-06,1,She Wears Red Feathers,Guy Mitchell
1953-03-06,1,Broken Wings,The Stargazers
1953-03-13,1,She Wears Red Feathers,Guy Mitchell
1953-03-13,1,That Doggie in the Window?,Lita Roza
1953-03-20,1,She Wears Red Feathers,Guy Mitchell
1953-03-20,1,All the Time and Everywhere,Dickie Valentine
1953-03-27,1,She Wears Red Feathers,Guy Mitchell
1953-03-27,1,That Doggie in the Window?,Patti Page
1953-04-03,1,She Wears Red Feathers,Guy Mitchell
1953-04-03,1,Oh Happy Day,The Johnston Brothers
1953-04-03,1,Little Red Monkey,Frank Chacksfield's Tunesmiths
1953-04-03,1,That Doggie in the Window?,Patti Page
1953-04-10,1,Broken Wings,The Stargazers
1953-04-10,1,I Believe,Frankie Laine
1953-04-10,1,Oh Happy Day,The Johnston Brothers
1953-04-10,1,Somebody Stole My Gal,Johnnie Ray
1953-04-17,1,That Doggie in the Window?,Lita Roza
1953-04-17,1,Somebody Stole My Gal,Johnnie Ray
1953-04-17,1,I Believe,Frankie Laine
1953-04-24,1,"I Believe"" †",Frankie Laine
1953-04-24,1,I Believe,Frankie Laine
1953-04-24,1,Pretty Little Black Eyed Susie,Guy Mitchell
1953-04-24,1,Side by Side,Kay Starr
1953-04-24,1,Pretend,Nat King Cole
1953-05-01,1,I Believe,Frankie Laine
1953-05-01,1,Pretend,Nat King Cole
1953-05-01,1,Downhearted,Eddie Fisher
1953-05-01,1,"I Believe"" †",Frankie Laine
1953-05-08,1,"I Believe"" †",Frankie Laine
1953-05-08,1,Pretend,Nat King Cole
1953-05-08,1,In a Golden Coach,Billy Cotton & His Band
1953-05-08,1,Tell Me a Story,Jimmy Boyd & Frankie Laine
1953-05-08,1,Downhearted,Eddie Fisher
1953-05-08,1,I Believe,Frankie Laine
1953-05-15,1,"I Believe"" †",Frankie Laine
1953-05-15,1,Pretend,Nat King Cole
1953-05-15,1,I Believe,Frankie Laine
1953-05-15,1,Tell Me a Story,Jimmy Boyd & Frankie Laine
1953-05-22,1,"I Believe"" †",Frankie Laine
1953-05-22,1,I Believe,Frankie Laine
1953-05-22,1,Terry's Theme from Limelight,Frank Chacksfield
1953-05-22,1,"Hold Me, Thrill Me, Kiss Me",Muriel Smith
1953-05-22,1,I'm Walking Behind You,Eddie Fisher with Sally Sweetland
