date,rank,song,artist
1940-07-27,1,I'll Never Smile Again,Tommy Dorsey
1940-08-03,1,I'll Never Smile Again,Tommy Dorsey
1940-08-10,1,I'll Never Smile Again,Tommy Dorsey
1940-08-17,1,I'll Never Smile Again,Tommy Dorsey
1940-08-24,1,I'll Never Smile Again,Tommy Dorsey
1940-08-31,1,I'll Never Smile Again,Tommy Dorsey
1940-09-07,1,I'll Never Smile Again,Tommy Dorsey
1940-09-14,1,I'll Never Smile Again,Tommy Dorsey
1940-09-21,1,I'll Never Smile Again,Tommy Dorsey
1940-09-28,1,I'll Never Smile Again,Tommy Dorsey
1940-10-05,1,I'll Never Smile Again,Tommy Dorsey
1940-10-12,1,I'll Never Smile Again,Tommy Dorsey
1940-10-19,1,Only Forever,Bing Crosby
1940-10-26,1,Only Forever,Bing Crosby
1940-11-02,1,Only Forever,Bing Crosby
1940-11-09,1,Only Forever,Bing Crosby
1940-11-16,1,Only Forever,Bing Crosby
1940-11-23,1,Only Forever,Bing Crosby
1940-11-30,1,Only Forever,Bing Crosby
1940-12-07,1,Only Forever,Bing Crosby
1940-12-14,1,Only Forever,Bing Crosby
1940-12-21,1,Frenesi,Artie Shaw
1940-12-28,1,Frenesi,Artie Shaw
1941-01-04,1,Frenesi,Artie Shaw
1941-01-11,1,Frenesi,Artie Shaw
1941-01-18,1,Frenesi,Artie Shaw
1941-01-25,1,Frenesi,Artie Shaw
1941-02-01,1,Frenesi,Artie Shaw
1941-02-08,1,Frenesi,Artie Shaw
1941-02-15,1,Frenesi,Artie Shaw
1941-02-22,1,Frenesi,Artie Shaw
1941-03-01,1,Frenesi,Artie Shaw
1941-03-08,1,Frenesi,Artie Shaw
1941-03-15,1,Song of the Volga Boatmen,Glenn Miller
1941-03-22,1,Frenesi,Artie Shaw
1941-03-29,1,Amapola,Jimmy Dorsey
1941-04-05,1,Amapola,Jimmy Dorsey
1941-04-12,1,Amapola,Jimmy Dorsey
1941-04-19,1,Amapola,Jimmy Dorsey
1941-04-26,1,Amapola,Jimmy Dorsey
1941-05-03,1,Amapola,Jimmy Dorsey
1941-05-10,1,Amapola,Jimmy Dorsey
1941-05-17,1,Amapola,Jimmy Dorsey
1941-05-24,1,Amapola,Jimmy Dorsey
1941-05-31,1,Amapola,Jimmy Dorsey
1941-06-07,1,My Sister and I,Jimmy Dorsey
1941-06-14,1,Maria Elena,Jimmy Dorsey
1941-06-21,1,Daddy,Sammy Kaye
1941-06-28,1,My Sister and I,Jimmy Dorsey
1941-07-05,1,Maria Elena,Jimmy Dorsey
1941-07-12,1,Daddy,Sammy Kaye
1941-07-19,1,Daddy,Sammy Kaye
1941-07-26,1,Daddy,Sammy Kaye
1941-08-02,1,Daddy,Sammy Kaye
1941-08-09,1,Daddy,Sammy Kaye
1941-08-16,1,Daddy,Sammy Kaye
1941-08-23,1,Daddy,Sammy Kaye
1941-08-30,1,Green Eyes,Jimmy Dorsey
1941-09-06,1,Green Eyes,Jimmy Dorsey
1941-09-13,1,Green Eyes,Jimmy Dorsey
1941-09-20,1,Green Eyes,Jimmy Dorsey
1941-09-27,1,Blue Champagne,Jimmy Dorsey
1941-10-04,1,Piano Concerto in B Flat,Freddy Martin
1941-10-11,1,Piano Concerto in B Flat,Freddy Martin
1941-10-18,1,Piano Concerto in B Flat,Freddy Martin
1941-10-25,1,Piano Concerto in B Flat,Freddy Martin
1941-11-01,1,Piano Concerto in B Flat,Freddy Martin
1941-11-08,1,Piano Concerto in B Flat,Freddy Martin
1941-11-15,1,Piano Concerto in B Flat,Freddy Martin
1941-11-22,1,Piano Concerto in B Flat,Freddy Martin
1941-11-29,1,Chattanooga Choo Choo,Glenn Miller
1941-12-06,1,Chattanooga Choo Choo,Glenn Miller
1941-12-13,1,Chattanooga Choo Choo,Glenn Miller
1941-12-20,1,Elmer's Tune,Glenn Miller
1941-12-27,1,Chattanooga Choo Choo,Glenn Miller
1942-01-03,1,Chattanooga Choo Choo,Glenn Miller
1942-01-10,1,Chattanooga Choo Choo,Glenn Miller
1942-01-17,1,Chattanooga Choo Choo,Glenn Miller
1942-01-24,1,Chattanooga Choo Choo,Glenn Miller
1942-01-31,1,Chattanooga Choo Choo,Glenn Miller
1942-02-07,1,A String of Pearls,Glenn Miller
1942-02-14,1,Blues in the Night,Woody Herman
1942-02-21,1,A String of Pearls,Glenn Miller
1942-02-28,1,Moonlight Cocktail,Glenn Miller
1942-03-07,1,Moonlight Cocktail,Glenn Miller
1942-03-14,1,Moonlight Cocktail,Glenn Miller
1942-03-21,1,Moonlight Cocktail,Glenn Miller
1942-03-28,1,Moonlight Cocktail,Glenn Miller
1942-04-04,1,Moonlight Cocktail,Glenn Miller
1942-04-11,1,Moonlight Cocktail,Glenn Miller
1942-04-18,1,Moonlight Cocktail,Glenn Miller
1942-04-25,1,Moonlight Cocktail,Glenn Miller
1942-05-02,1,Moonlight Cocktail,Glenn Miller
1942-05-09,1,Tangerine,Jimmy Dorsey
1942-05-16,1,Tangerine,Jimmy Dorsey
1942-05-23,1,Tangerine,Jimmy Dorsey
1942-05-30,1,Tangerine,Jimmy Dorsey
1942-06-06,1,Tangerine,Jimmy Dorsey
1942-06-13,1,Tangerine,Jimmy Dorsey
1942-06-20,1,Sleepy Lagoon,Harry James
1942-06-27,1,Sleepy Lagoon,Harry James
1942-07-04,1,Sleepy Lagoon,Harry James
1942-07-11,1,Sleepy Lagoon,Harry James
1942-07-18,1,Jingle Jangle Jingle,Kay Kyser
1942-07-25,1,Jingle Jangle Jingle,Kay Kyser
1942-08-01,1,Jingle Jangle Jingle,Kay Kyser
1942-08-08,1,Jingle Jangle Jingle,Kay Kyser
1942-08-15,1,Jingle Jangle Jingle,Kay Kyser
1942-08-22,1,Jingle Jangle Jingle,Kay Kyser
1942-08-29,1,Jingle Jangle Jingle,Kay Kyser
1942-09-05,1,Jingle Jangle Jingle,Kay Kyser
1942-09-12,1,Kalamazoo,Glenn Miller
1942-09-19,1,Kalamazoo,Glenn Miller
1942-09-26,1,Kalamazoo,Glenn Miller
1942-10-03,1,Kalamazoo,Glenn Miller
1942-10-10,1,Kalamazoo,Glenn Miller
1942-10-17,1,Kalamazoo,Glenn Miller
1942-10-24,1,Kalamazoo,Glenn Miller
1942-10-31,1,White Christmas,Bing Crosby
1942-11-07,1,White Christmas,Bing Crosby
1942-11-14,1,White Christmas,Bing Crosby
1942-11-21,1,White Christmas,Bing Crosby
1942-11-28,1,White Christmas,Bing Crosby
1942-12-05,1,White Christmas,Bing Crosby
1942-12-12,1,White Christmas,Bing Crosby
1942-12-19,1,White Christmas,Bing Crosby
1942-12-26,1,White Christmas,Bing Crosby
1943-01-02,1,White Christmas,Bing Crosby
1943-01-09,1,White Christmas,Bing Crosby
1943-01-16,1,There Are Such Things,Tommy Dorsey
1943-01-23,1,There Are Such Things,Tommy Dorsey
1943-01-30,1,There Are Such Things,Tommy Dorsey
1943-02-06,1,There Are Such Things,Tommy Dorsey
1943-02-13,1,I Had the Craziest Dream,Harry James
1943-02-20,1,I Had the Craziest Dream,Harry James
1943-02-27,1,There Are Such Things,Tommy Dorsey
1943-03-06,1,I've Heard That Song Before,Harry James
1943-03-13,1,I've Heard That Song Before,Harry James
1943-03-20,1,I've Heard That Song Before,Harry James
1943-03-27,1,I've Heard That Song Before,Harry James
1943-04-03,1,I've Heard That Song Before,Harry James
1943-04-10,1,I've Heard That Song Before,Harry James
1943-04-17,1,I've Heard That Song Before,Harry James
1943-04-24,1,I've Heard That Song Before,Harry James
1943-05-01,1,I've Heard That Song Before,Harry James
1943-05-08,1,I've Heard That Song Before,Harry James
1943-05-15,1,I've Heard That Song Before,Harry James
1943-05-22,1,I've Heard That Song Before,Harry James
1943-05-29,1,That Old Black Magic,Glenn Miller
1943-06-05,1,I've Heard That Song Before,Harry James
1943-06-12,1,Taking A Chance On Love,Benny Goodman
1943-06-19,1,Taking A Chance On Love,Benny Goodman
1943-06-26,1,Taking A Chance On Love,Benny Goodman
1943-07-03,1,Comin' In On A Wing And A Prayer,The Song Spinners
1943-07-10,1,Comin' In On A Wing And A Prayer,The Song Spinners
1943-07-17,1,Comin' In On A Wing And A Prayer,The Song Spinners
1943-07-24,1,You'll Never Know,Dick Haymes
1943-07-31,1,You'll Never Know,Dick Haymes
