date,rank,song,artist
2013-05-21,1,Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams
2013-05-28,1,Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams
2013-06-04,1,Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams
2013-06-11,1,Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams
2013-06-18,1,Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams
2013-06-25,1,Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams
2013-07-02,1,Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams
2013-07-09,1,Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams
2013-07-16,1,Get Lucky,Daft Punk featuring Pharrell Williams
2013-07-23,1,Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams
2013-07-30,1,Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams
2013-08-06,1,Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams
2013-08-13,1,Treasure,Bruno Mars
2013-08-20,1,Treasure,Bruno Mars
2013-08-27,1,Jika,Mi Casa
2013-09-03,1,Jika,Mi Casa
2013-09-10,1,Jika,Mi Casa
2013-09-17,1,Jika,Mi Casa
2013-09-24,1,Jika,Mi Casa
2013-10-01,1,Jika,Mi Casa
2013-10-08,1,Jika,Mi Casa
2013-10-15,1,Jika,Mi Casa
2013-10-22,1,Jika,Mi Casa
2013-10-29,1,Jika,Mi Casa
2013-11-05,1,Jika,Mi Casa
2013-11-12,1,Jika,Mi Casa
2013-11-19,1,Jika,Mi Casa
2013-11-26,1,"Hold On, We're Going Home",Drake featuring Majid Jordan
2013-12-03,1,"Hold On, We're Going Home",Drake featuring Majid Jordan
2013-12-10,1,Nelson Mandela,Zahara
2013-12-17,1,Nelson Mandela,Zahara
2013-12-24,1,"Hold On, We're Going Home",Drake featuring Majid Jordan
2013-12-31,1,"Hold On, We're Going Home",Drake featuring Majid Jordan
2014-01-07,1,Y-tujukuja,Uhuru
2014-01-14,1,Timber,Pitbull featuring Kesha
2014-01-21,1,Timber,Pitbull featuring Kesha
2014-01-28,1,Happy,Pharrell Williams
2014-02-04,1,Happy,Pharrell Williams
2014-02-11,1,Pluto,DJ Clock featuring Beatenberg
2014-02-18,1,Drunk in Love,Beyoncé featuring Jay-Z
2014-02-25,1,Pluto,DJ Clock featuring Beatenberg
2014-03-04,1,Pluto,DJ Clock featuring Beatenberg
2014-03-11,1,Pluto,DJ Clock featuring Beatenberg
2014-03-18,1,Pluto,DJ Clock featuring Beatenberg
2014-03-25,1,Pluto,DJ Clock featuring Beatenberg
2014-04-01,1,Pluto,DJ Clock featuring Beatenberg
2014-04-08,1,Pluto,DJ Clock featuring Beatenberg
2014-04-15,1,Pluto,DJ Clock featuring Beatenberg
2014-04-22,1,Pluto,DJ Clock featuring Beatenberg
2014-04-29,1,Pluto,DJ Clock featuring Beatenberg
2014-05-06,1,Pluto,DJ Clock featuring Beatenberg
2014-05-13,1,Pluto,DJ Clock featuring Beatenberg
2014-05-20,1,Pluto,DJ Clock featuring Beatenberg
2014-05-27,1,Pluto,DJ Clock featuring Beatenberg
2014-06-03,1,Pluto,DJ Clock featuring Beatenberg
2014-06-10,1,Pluto,DJ Clock featuring Beatenberg
2014-06-17,1,Love Never Felt So Good,Michael Jackson featuring Justin Timberlake
